GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,SEASON,time,SHOT_DATA_STATUS,RAW_PERIOD,RAW_MINUTES_REMAINING,RAW_SECONDS_REMAINING,SHOT_CLOCK_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1020500008,111,101019,Janel McCarville,1611661314,Charlotte Sting,1,6,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,0,1,1,20050522,IND,CHA,1020500008111,2005,8060,validated,1,6,34,source,100851,1,matched,playbyplayv2,1611661325,100170|100416|100457|100851|101019,complete,playbyplay_inferred,100646|100648|100727|100928|101034,complete,playbyplay_inferred
Shot Chart Detail,1020500051,123,101019,Janel McCarville,1611661314,Charlotte Sting,1,6,39,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050612,CHA,SEA,1020500051123,2005,8010,validated,1,6,39,source,,0,matched,playbyplayv2,1611661328,100170|100372|100628|100643|101019,complete,playbyplay_inferred,100484|100660|100682|100796|101030,complete,playbyplay_inferred
Shot Chart Detail,1020500051,278,101019,Janel McCarville,1611661314,Charlotte Sting,2,11,43,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050612,CHA,SEA,1020500051278,2005,16970,validated,2,11,43,source,,0,matched,playbyplayv2,1611661328,100170|100236|100416|100457|101019,complete,playbyplay_inferred,100484|100660|100682|100796|101103,complete,playbyplay_inferred
Shot Chart Detail,1020500051,371,101019,Janel McCarville,1611661314,Charlotte Sting,2,2,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050612,CHA,SEA,1020500051371,2005,22390,validated,2,2,41,source,100372,1,matched,playbyplayv2,1611661328,100170|100236|100372|100643|101019,complete,playbyplay_inferred,100484|100660|100682|100796|101030,complete,playbyplay_inferred
Shot Chart Detail,1020500055,105,101019,Janel McCarville,1611661314,Charlotte Sting,1,7,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-80,53,1,0,20050616,CHA,IND,1020500055105,2005,7540,validated,1,7,26,source,,0,matched,playbyplayv2,1611661325,100170|100372|100416|100628|101019,complete,playbyplay_inferred,100284|100727|100928|101006|101020,complete,playbyplay_inferred
Shot Chart Detail,1020500055,158,101019,Janel McCarville,1611661314,Charlotte Sting,1,0,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,5,66,1,0,20050616,CHA,IND,1020500055158,2005,11650,validated,1,0,35,source,,0,matched,playbyplayv2,1611661325,100416|100457|100643|100851|101019,complete,playbyplay_inferred,100366|100627|100646|100648|100727,complete,playbyplay_inferred
Shot Chart Detail,1020500055,220,101019,Janel McCarville,1611661314,Charlotte Sting,2,12,21,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-71,76,1,0,20050616,CHA,IND,1020500055220,2005,16590,validated,2,12,21,source,,0,matched,playbyplayv2,1611661325,100236|100372|100416|100643|101019,complete,playbyplay_inferred,100366|100627|100727|101006|101020,complete,playbyplay_inferred
Shot Chart Detail,1020500055,228,101019,Janel McCarville,1611661314,Charlotte Sting,2,11,16,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,23,1,0,20050616,CHA,IND,1020500055228,2005,17240,validated,2,11,16,source,,0,matched,playbyplayv2,1611661325,100236|100372|100416|100643|101019,complete,playbyplay_inferred,100627|100727|100928|101006|101020,complete,playbyplay_inferred
Shot Chart Detail,1020500069,75,101019,Janel McCarville,1611661314,Charlotte Sting,1,9,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-31,173,1,0,20050623,CHA,SAN,102050006975,2005,6320,validated,1,9,28,source,,0,matched,playbyplayv2,1611661319,100170|100372|100416|100851|101019,complete,playbyplay_inferred,100046|100198|100364|100375|101026,complete,playbyplay_inferred
Shot Chart Detail,1020500069,228,101019,Janel McCarville,1611661314,Charlotte Sting,2,13,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,10,178,1,0,20050623,CHA,SAN,1020500069228,2005,16050,validated,2,13,15,source,,0,matched,playbyplayv2,1611661319,100416|100457|100643|100851|101019,complete,playbyplay_inferred,100046|100198|100410|100685|101026,complete,playbyplay_inferred
Shot Chart Detail,1020500069,263,101019,Janel McCarville,1611661314,Charlotte Sting,2,9,21,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,8,1,1,20050623,CHA,SAN,1020500069263,2005,18390,validated,2,9,21,source,100851,1,matched,playbyplayv2,1611661319,100457|100643|100851|100920|101019,complete,playbyplay_inferred,100364|100375|100410|100873|101026,complete,playbyplay_inferred
Shot Chart Detail,1020500069,272,101019,Janel McCarville,1611661314,Charlotte Sting,2,8,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050623,CHA,SAN,1020500069272,2005,19120,validated,2,8,8,source,,0,matched,playbyplayv2,1611661319,100457|100643|100851|100920|101019,complete,playbyplay_inferred,100364|100375|100410|100873|101026,complete,playbyplay_inferred
Shot Chart Detail,1020500069,304,101019,Janel McCarville,1611661314,Charlotte Sting,2,5,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050623,CHA,SAN,1020500069304,2005,20810,validated,2,5,19,source,100416,1,matched,playbyplayv2,1611661319,100170|100416|100643|100851|101019,complete,playbyplay_inferred,100046|100375|100410|100685|101026,complete,playbyplay_inferred
Shot Chart Detail,1020500075,202,101019,Janel McCarville,1611661314,Charlotte Sting,2,10,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050625,CHA,NYL,1020500075202,2005,17620,validated,2,10,38,source,,0,matched,playbyplayv2,1611661313,100170|100236|100372|100416|101019,complete,playbyplay_inferred,100043|100345|100445|100937|101028,complete,playbyplay_inferred
Shot Chart Detail,1020500080,13,101019,Janel McCarville,1611661314,Charlotte Sting,1,19,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-97,-3,1,1,20050628,CHA,WAS,102050008013,2005,540,validated,1,19,6,source,100372,1,matched,playbyplayv2,1611661322,100170|100236|100372|100416|101019,complete,playbyplay_inferred,100371|100396|100433|100949|101024,complete,playbyplay_inferred
Shot Chart Detail,1020500080,130,101019,Janel McCarville,1611661314,Charlotte Sting,1,5,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050628,CHA,WAS,1020500080130,2005,8900,validated,1,5,10,source,100236,1,matched,playbyplayv2,1611661322,100170|100236|100372|100416|101019,complete,playbyplay_inferred,100199|100396|100433|100690|101024,complete,playbyplay_inferred
Shot Chart Detail,1020500080,278,101019,Janel McCarville,1611661314,Charlotte Sting,2,9,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050628,CHA,WAS,1020500080278,2005,18400,validated,2,9,20,source,100236,1,matched,playbyplayv2,1611661322,100170|100236|100416|100457|101019,complete,playbyplay_inferred,100371|100396|100556|100949|101024,complete,playbyplay_inferred
Shot Chart Detail,1020500080,285,101019,Janel McCarville,1611661314,Charlotte Sting,2,7,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-117,35,1,1,20050628,CHA,WAS,1020500080285,2005,19240,validated,2,7,56,source,,0,matched,playbyplayv2,1611661322,100170|100236|100416|100457|101019,complete,playbyplay_inferred,100371|100396|100556|100949|101024,complete,playbyplay_inferred
Shot Chart Detail,1020500080,323,101019,Janel McCarville,1611661314,Charlotte Sting,2,2,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050628,CHA,WAS,1020500080323,2005,22400,validated,2,2,40,source,,0,matched,playbyplayv2,1611661322,100170|100236|100372|100416|101019,complete,playbyplay_inferred,100371|100396|100433|100949|101024,complete,playbyplay_inferred
Shot Chart Detail,1020500086,69,101019,Janel McCarville,1611661314,Charlotte Sting,1,11,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,5,1,0,20050630,WAS,CHA,102050008669,2005,5230,validated,1,11,17,source,,0,matched,playbyplayv2,1611661322,100170|100236|100372|100416|101019,complete,playbyplay_inferred,100199|100371|100556|100690|100949,complete,playbyplay_inferred
Shot Chart Detail,1020500086,81,101019,Janel McCarville,1611661314,Charlotte Sting,1,9,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,13,1,0,20050630,WAS,CHA,102050008681,2005,6150,validated,1,9,45,source,,0,matched,playbyplayv2,1611661322,100170|100236|100416|100457|101019,complete,playbyplay_inferred,100199|100371|100556|100690|100949,complete,playbyplay_inferred
Shot Chart Detail,1020500090,182,101019,Janel McCarville,1611661314,Charlotte Sting,2,19,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050702,HOU,CHA,1020500090182,2005,12500,validated,1,2,30,pbp_verified_2005_halftime,,0,matched,playbyplayv2,1611661316,100170|100236|100372|100416|101019,complete,playbyplay_inferred,100072|100075|100384|100552|100729,complete,playbyplay_inferred
