GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,SEASON,time,SHOT_DATA_STATUS,RAW_PERIOD,RAW_MINUTES_REMAINING,RAW_SECONDS_REMAINING,SHOT_CLOCK_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1020500024,107,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,1,8,3,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050531,LAS,SAN,1020500024107,2005,7170,validated,1,8,3,source,,0,matched,playbyplayv2,1611661320,100046|100198|100364|100375|101026,complete,playbyplay_inferred,100003|100356|100724|100930|100988,complete,playbyplay_inferred
Shot Chart Detail,1020500053,298,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,2,7,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,57,189,1,0,20050615,PHO,SAN,1020500053298,2005,19330,validated,2,7,47,source,,0,matched,playbyplayv2,1611661317,100364|100375|100410|100873|101026,complete,playbyplay_inferred,100493|100544|100888|100923|100940,complete,playbyplay_inferred
Shot Chart Detail,1020500062,29,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,1,16,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,22,-44,219,1,1,20050618,SAN,HOU,102050006229,2005,2330,validated,1,16,7,source,101026,1,matched,playbyplayv2,1611661316,100046|100198|100364|100685|101026,complete,playbyplay_inferred,100072|100075|100384|100552|100729,complete,playbyplay_inferred
Shot Chart Detail,1020500062,56,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,1,12,3,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,79,87,1,0,20050618,SAN,HOU,102050006256,2005,4770,validated,1,12,3,source,,0,matched,playbyplayv2,1611661316,100198|100364|100685|100873|101026,complete,playbyplay_inferred,100072|100075|100384|100413|100552,complete,playbyplay_inferred
Shot Chart Detail,1020500062,151,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,1,3,50,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,131,156,1,0,20050618,SAN,HOU,1020500062151,2005,9700,validated,1,3,50,source,,0,matched,playbyplayv2,1611661316,100046|100364|100685|100873|101032,complete,playbyplay_inferred,100072|100075|100384|100413|100552,complete,playbyplay_inferred
Shot Chart Detail,1020500062,248,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,2,14,10,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,3,1,0,20050618,SAN,HOU,1020500062248,2005,15500,validated,2,14,10,source,,0,matched,playbyplayv2,1611661316,100046|100198|100364|100410|101026,complete,playbyplay_inferred,100072|100363|100384|100552|100729,complete,playbyplay_inferred
Shot Chart Detail,1020500062,298,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,2,9,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,13,1,1,20050618,SAN,HOU,1020500062298,2005,18010,validated,2,9,59,source,100685,1,matched,playbyplayv2,1611661316,100364|100410|100685|100873|101026,complete,playbyplay_inferred,100072|100075|100363|100413|100729,complete,playbyplay_inferred
Shot Chart Detail,1020500064,7,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,1,19,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,45,1,1,20050621,NYL,SAN,10205000647,2005,490,validated,1,19,11,source,100873,1,matched,playbyplayv2,1611661313,100046|100364|100410|100685|100873,complete,playbyplay_inferred,100043|100103|100342|100345|100445,complete,playbyplay_inferred
Shot Chart Detail,1020500064,35,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,1,15,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,21,184,102,1,1,20050621,NYL,SAN,102050006435,2005,2870,validated,1,15,13,source,100410,1,matched,playbyplayv2,1611661313,100046|100364|100410|100685|101026,complete,playbyplay_inferred,100043|100103|100342|100345|100445,complete,playbyplay_inferred
Shot Chart Detail,1020500064,195,100364,Dalma Ivanyi,1611661319,San Antonio Silver Stars,2,16,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,190,123,1,0,20050621,NYL,SAN,1020500064195,2005,14260,validated,2,16,14,source,,0,matched,playbyplayv2,1611661313,100046|100364|100410|100685|100873,complete,playbyplay_inferred,100043|100103|100342|100345|100445,complete,playbyplay_inferred
