GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1042500121,642,1642788,Bree Hall,1611661325,Indiana Fever,4,0,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20250914,ATL,IND,2025,1042500121642,23850,validated,1629488,1,matched,playbyplayv2,1611661330,203035|1627672|1629488|1642788|1642815,complete,playbyplay_inferred,1628269|1628278|1630471|1631021|1642804,complete,playbyplay_inferred
Shot Chart Detail,1042500211,508,1642788,Bree Hall,1611661325,Indiana Fever,4,0,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,126,1,0,20250921,LVA,IND,2025,1042500211508,23750,validated,,0,matched,playbyplayv2,1611661319,1627672|1629488|1641648|1642788|1642815,complete,playbyplay_inferred,204323|204329|1629484|1630389|1642801,complete,playbyplay_inferred
Shot Chart Detail,1042500211,510,1642788,Bree Hall,1611661325,Indiana Fever,4,0,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,9,1,1,20250921,LVA,IND,2025,1042500211510,23790,validated,,0,matched,playbyplayv2,1611661319,1627672|1629488|1641648|1642788|1642815,complete,playbyplay_inferred,204323|204329|1629484|1630389|1642801,complete,playbyplay_inferred
