GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021200004,4,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,9,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,-6,1,0,20120519,WAS,CHI,2012,10212000044,230,validated,,0,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100942|200673|201049|201490|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,7,202259,Epiphanny Prince,1611661329,Chicago Sky,1,9,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,9,1,0,20120519,WAS,CHI,2012,10212000047,520,validated,,0,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100942|200673|201049|201490|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,12,201480,Sylvia Fowles,1611661329,Chicago Sky,1,8,42,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,33,1,1,20120519,WAS,CHI,2012,102120000412,780,validated,100656,1,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100942|200673|201049|201490|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,14,100721,Swin Cash,1611661329,Chicago Sky,1,8,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,-16,1,1,20120519,WAS,CHI,2012,102120000414,1130,validated,,0,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100942|200673|201049|201490|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,18,202664,Courtney Vandersloot,1611661329,Chicago Sky,1,7,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,-10,1,1,20120519,WAS,CHI,2012,102120000418,1500,validated,,0,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100942|200673|201049|201490|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,20,201480,Sylvia Fowles,1611661329,Chicago Sky,1,6,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-8,1,1,20120519,WAS,CHI,2012,102120000420,1900,validated,100656,1,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100942|200673|201049|201490|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,36,202259,Epiphanny Prince,1611661329,Chicago Sky,1,5,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,22,-201,104,1,1,20120519,WAS,CHI,2012,102120000436,2610,validated,202664,1,matched,playbyplayv2,1611661322,100656|100721|201480|202259|202664,complete,playbyplay_inferred,100384|100942|200673|201049|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,53,100721,Swin Cash,1611661329,Chicago Sky,1,4,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,21,181,116,1,0,20120519,WAS,CHI,2012,102120000453,3580,validated,,0,matched,playbyplayv2,1611661322,100234|100721|100973|201480|202259,complete,playbyplay_inferred,100384|100729|200673|201049|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,56,202259,Epiphanny Prince,1611661329,Chicago Sky,1,3,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20120519,WAS,CHI,2012,102120000456,3760,validated,,0,matched,playbyplayv2,1611661322,100234|100721|100973|201480|202259,complete,playbyplay_inferred,100384|100729|200673|201049|201518,complete,playbyplay_inferred
Shot Chart Detail,1021200004,63,201480,Sylvia Fowles,1611661329,Chicago Sky,1,3,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,42,1,0,20120519,WAS,CHI,2012,102120000463,4090,validated,,0,matched,playbyplayv2,1611661322,100234|100973|201062|201477|201480,complete,playbyplay_inferred,100384|100729|201049|201518|203021,complete,playbyplay_inferred
