GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041200131,10,100937,Shameka Christon,1611661319,San Antonio Silver Stars,1,8,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-191,157,1,1,20120927,LAS,SAN,2012,104120013110,790,validated,202251,1,matched,playbyplayv2,1611661320,100342|100937|200674|202251|202658,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200131,58,100937,Shameka Christon,1611661319,San Antonio Silver Stars,1,2,33,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,101,1,0,20120927,LAS,SAN,2012,104120013158,4470,validated,,0,matched,playbyplayv2,1611661320,100937|100952|200674|202634|202658,complete,playbyplay_inferred,100396|201911|202626|202650|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200131,384,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,5,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,179,146,1,0,20120927,LAS,SAN,2012,1041200131384,20900,validated,,0,matched,playbyplayv2,1611661320,100342|100937|200674|202634|202658,complete,playbyplay_inferred,100949|201496|201911|202626|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200131,409,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,2,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,129,220,1,1,20120927,LAS,SAN,2012,1041200131409,22670,validated,202658,1,matched,playbyplayv2,1611661320,100342|100937|200674|202634|202658,complete,playbyplay_inferred,100949|201496|201911|202626|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200131,450,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,0,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-89,219,1,0,20120927,LAS,SAN,2012,1041200131450,23900,validated,,0,matched,playbyplayv2,1611661320,100342|100937|200674|202634|202658,complete,playbyplay_inferred,100949|201496|201911|202626|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200132,10,100937,Shameka Christon,1611661319,San Antonio Silver Stars,1,9,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22,155,164,1,0,20120929,SAN,LAS,2012,104120013210,460,validated,,0,matched,playbyplayv2,1611661320,100342|100937|200674|202251|202658,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200132,43,100937,Shameka Christon,1611661319,San Antonio Silver Stars,1,5,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-89,56,1,0,20120929,SAN,LAS,2012,104120013243,2570,validated,,0,matched,playbyplayv2,1611661320,100342|100937|200674|202251|202658,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200132,152,100937,Shameka Christon,1611661319,San Antonio Silver Stars,2,5,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,0,165,1,0,20120929,SAN,LAS,2012,1041200132152,8640,validated,,0,matched,playbyplayv2,1611661320,100236|100342|100937|202634|203018,complete,playbyplay_inferred,201496|201889|201911|202626|202650,complete,playbyplay_inferred
Shot Chart Detail,1041200132,179,100937,Shameka Christon,1611661319,San Antonio Silver Stars,2,2,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-155,153,1,0,20120929,SAN,LAS,2012,1041200132179,10500,validated,,0,matched,playbyplayv2,1611661320,100342|100937|200674|202634|202658,complete,playbyplay_inferred,201496|201889|201911|202626|202650,complete,playbyplay_inferred
Shot Chart Detail,1041200132,216,100937,Shameka Christon,1611661319,San Antonio Silver Stars,3,9,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,155,151,1,1,20120929,SAN,LAS,2012,1041200132216,12160,validated,202658,1,matched,playbyplayv2,1611661320,100342|100937|200674|202251|202658,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200132,223,100937,Shameka Christon,1611661319,San Antonio Silver Stars,3,8,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,20,-164,131,1,0,20120929,SAN,LAS,2012,1041200132223,12630,validated,,0,matched,playbyplayv2,1611661320,100342|100937|200674|202251|202658,complete,playbyplay_inferred,100396|100949|201496|201911|202650,complete,playbyplay_inferred
Shot Chart Detail,1041200132,357,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,8,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,91,194,1,1,20120929,SAN,LAS,2012,1041200132357,18910,validated,100342,1,matched,playbyplayv2,1611661320,100342|100937|100952|200674|202658,complete,playbyplay_inferred,100949|201496|201911|202626|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200132,373,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,6,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-174,137,1,1,20120929,SAN,LAS,2012,1041200132373,20120,validated,202658,1,matched,playbyplayv2,1611661320,100342|100937|100952|200674|202658,complete,playbyplay_inferred,100396|100949|201496|201911|202626,complete,playbyplay_inferred
Shot Chart Detail,1041200132,423,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,2,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-106,192,1,0,20120929,SAN,LAS,2012,1041200132423,22790,validated,,0,matched,playbyplayv2,1611661320,100342|100937|100952|200674|202658,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
Shot Chart Detail,1041200132,439,100937,Shameka Christon,1611661319,San Antonio Silver Stars,4,0,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,173,135,1,0,20120929,SAN,LAS,2012,1041200132439,23840,validated,,0,matched,playbyplayv2,1611661320,100342|100937|100952|200674|202658,complete,playbyplay_inferred,100396|100949|201496|201911|203014,complete,playbyplay_inferred
