GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1042400121,42,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,7,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,107,154,1,0,20240922,CON,IND,2024,104240012142,1640,validated,,0,matched,playbyplayv2,1611661325,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred,1628909|1631019|1631086|1641648|1642286,complete,playbyplay_inferred
Shot Chart Detail,1042400212,121,1630112,Tyasha Harris,1611661323,Connecticut Sun,2,9,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,24,1,0,20241001,MIN,CON,2024,1042400212121,6580,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630112|1631007,complete,playbyplay_inferred,1628508|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400213,420,1630112,Tyasha Harris,1611661323,Connecticut Sun,4,8,29,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,32,1,0,20241004,CON,MIN,2024,1042400213420,18910,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1628280|1630112|1631007,complete,playbyplay_inferred,203825|1627675|1628508|1629501|1641657,complete,playbyplay_inferred
Shot Chart Detail,1042400214,7,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,9,37,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,147,1,0,20241006,CON,MIN,2024,10424002147,230,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400214,28,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,7,29,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,43,105,1,1,20241006,CON,MIN,2024,104240021428,1510,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400214,84,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-154,233,1,0,20241006,CON,MIN,2024,104240021484,4850,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400214,231,1630112,Tyasha Harris,1611661323,Connecticut Sun,2,1,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,24,229,74,1,1,20241006,CON,MIN,2024,1042400214231,11050,validated,203826,1,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400214,289,1630112,Tyasha Harris,1611661323,Connecticut Sun,3,8,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-230,32,1,1,20241006,CON,MIN,2024,1042400214289,13160,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400214,345,1630112,Tyasha Harris,1611661323,Connecticut Sun,3,3,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,1,1,1,20241006,CON,MIN,2024,1042400214345,15700,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400214,410,1630112,Tyasha Harris,1611661323,Connecticut Sun,4,9,3,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20241006,CON,MIN,2024,1042400214410,18570,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630112|1631007,complete,playbyplay_inferred,203825|1629483|1629524|1629567|1641657,complete,playbyplay_inferred
Shot Chart Detail,1042400214,422,1630112,Tyasha Harris,1611661323,Connecticut Sun,4,7,44,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,20,126,1,0,20241006,CON,MIN,2024,1042400214422,19360,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630112|1631007,complete,playbyplay_inferred,203825|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400214,449,1630112,Tyasha Harris,1611661323,Connecticut Sun,4,5,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,99,220,1,1,20241006,CON,MIN,2024,1042400214449,20520,validated,203826,1,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,1627675|1629483|1629501|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400214,461,1630112,Tyasha Harris,1611661323,Connecticut Sun,4,4,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,15,1,1,20241006,CON,MIN,2024,1042400214461,21150,validated,203826,1,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400214,485,1630112,Tyasha Harris,1611661323,Connecticut Sun,4,2,31,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,50,59,1,0,20241006,CON,MIN,2024,1042400214485,22490,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629524|1629567,complete,playbyplay_inferred
Shot Chart Detail,1042400215,17,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,8,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-38,180,1,1,20241008,MIN,CON,2024,104240021517,910,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400215,20,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,7,57,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-123,206,1,1,20241008,MIN,CON,2024,104240021520,1230,validated,203826,1,matched,playbyplayv2,1611661324,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400215,67,1630112,Tyasha Harris,1611661323,Connecticut Sun,1,3,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,34,143,1,0,20241008,MIN,CON,2024,104240021567,3770,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
Shot Chart Detail,1042400215,223,1630112,Tyasha Harris,1611661323,Connecticut Sun,2,1,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,0,20241008,MIN,CON,2024,1042400215223,11260,validated,,0,matched,playbyplayv2,1611661324,201886|203826|1629497|1630096|1630112,complete,playbyplay_inferred,203825|1627675|1629483|1629501|1629524,complete,playbyplay_inferred
