GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022400113,161,203024,Damiris Dantas,1611661325,Indiana Fever,2,9,6,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-21,44,1,0,20240702,LVA,IND,2024,1022400113161,6540,validated,,0,matched,playbyplayv2,1611661319,203024|204365|1627701|1628909|1628929,complete,playbyplay_inferred,203833|204329|1629484|1629498|1642324,complete,playbyplay_inferred
Shot Chart Detail,1022400121,136,203024,Damiris Dantas,1611661325,Indiana Fever,2,9,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,174,1,1,20240706,IND,NYL,2024,1022400121136,6570,validated,1628929,1,matched,playbyplayv2,1611661313,203024|204365|1628929|1631019|1642286,complete,playbyplay_inferred,203866|204335|1627668|1629568|1630142,complete,playbyplay_inferred
Shot Chart Detail,1022400121,394,203024,Damiris Dantas,1611661325,Indiana Fever,4,6,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,187,4,1,1,20240706,IND,NYL,2024,1022400121394,20150,validated,1642286,1,matched,playbyplayv2,1611661313,203024|1628909|1631019|1631086|1642286,complete,playbyplay_inferred,203866|204335|1627673|1629477|1629568,complete,playbyplay_inferred
Shot Chart Detail,1022400121,404,203024,Damiris Dantas,1611661325,Indiana Fever,4,5,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,1,20240706,IND,NYL,2024,1022400121404,20560,validated,1631086,1,matched,playbyplayv2,1611661313,203024|1628909|1631019|1631086|1642286,complete,playbyplay_inferred,203866|204335|1627673|1629477|1629568,complete,playbyplay_inferred
Shot Chart Detail,1022400129,439,203024,Damiris Dantas,1611661325,Indiana Fever,4,8,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-181,188,1,0,20240710,IND,WAS,2024,1022400129439,18670,validated,,0,matched,playbyplayv2,1611661322,203024|1628909|1629478|1631086|1642286,complete,playbyplay_inferred,203828|1628278|1630459|1631083|1631141,complete,playbyplay_inferred
Shot Chart Detail,1022400129,461,203024,Damiris Dantas,1611661325,Indiana Fever,4,7,4,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,21,78,1,1,20240710,IND,WAS,2024,1022400129461,19760,validated,,0,matched,playbyplayv2,1611661322,203024|1628909|1629478|1631086|1642286,complete,playbyplay_inferred,203828|1628278|1628878|1628899|1631141,complete,playbyplay_inferred
Shot Chart Detail,1022400142,157,203024,Damiris Dantas,1611661325,Indiana Fever,2,8,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,0,1,1,20240714,MIN,IND,2024,1022400142157,7100,validated,1631019,1,matched,playbyplayv2,1611661324,203024|1628909|1631019|1631086|1642286,complete,playbyplay_inferred,1627675|1628508|1629524|1629567|1641657,complete,playbyplay_inferred
Shot Chart Detail,1022400142,375,203024,Damiris Dantas,1611661325,Indiana Fever,3,0,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,160,1,1,20240714,MIN,IND,2024,1022400142375,17570,validated,1631019,1,matched,playbyplayv2,1611661324,203024|204365|1628909|1631019|1631086,complete,playbyplay_inferred,1627675|1628508|1629524|1629567|1631021,complete,playbyplay_inferred
Shot Chart Detail,1022400148,111,203024,Damiris Dantas,1611661325,Indiana Fever,1,1,54,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,20,1,1,20240717,DAL,IND,2024,1022400148111,4860,validated,,0,matched,playbyplayv2,1611661321,203024|1628909|1631019|1631086|1642286,complete,playbyplay_inferred,203824|203827|1629480|1629481|1642292,complete,playbyplay_inferred
Shot Chart Detail,1022400148,152,203024,Damiris Dantas,1611661325,Indiana Fever,2,9,39,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,34,62,1,1,20240717,DAL,IND,2024,1022400148152,6210,validated,1642286,1,matched,playbyplayv2,1611661321,203024|204365|1629478|1631086|1642286,complete,playbyplay_inferred,203824|203827|1629479|1629481|1642244,complete,playbyplay_inferred
Shot Chart Detail,1022400148,426,203024,Damiris Dantas,1611661325,Indiana Fever,3,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,4,237,1,0,20240717,DAL,IND,2024,1022400148426,17480,validated,,0,matched,playbyplayv2,1611661321,203024|1628909|1629478|1631086|1642286,complete,playbyplay_inferred,203827|1629479|1629481|1642244|1642292,complete,playbyplay_inferred
