GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041800201,97,1627672,Aerial Powers,1611661322,Washington Mystics,1,1,35,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,160,61,1,0,20180823,WAS,LAS,2018,104180020197,5050,validated,,0,matched,playbyplayv2,1611661320,201911|203399|203403|204333|1627672,complete,playbyplay_inferred,201502|202650|203014|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041800201,158,1627672,Aerial Powers,1611661322,Washington Mystics,2,9,21,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,9,1,0,20180823,WAS,LAS,2018,1041800201158,6390,validated,,0,matched,playbyplayv2,1611661320,201506|203403|203437|204333|1627672,complete,playbyplay_inferred,100949|201496|203014|203029|203833,complete,playbyplay_inferred
Shot Chart Detail,1041800201,195,1627672,Aerial Powers,1611661322,Washington Mystics,2,2,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,215,101,1,0,20180823,WAS,LAS,2018,1041800201195,10470,validated,,0,matched,playbyplayv2,1611661320,201506|201911|203399|204333|1627672,complete,playbyplay_inferred,201496|201502|202650|203824|203833,complete,playbyplay_inferred
Shot Chart Detail,1041800201,385,1627672,Aerial Powers,1611661322,Washington Mystics,3,2,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,21,1,1,20180823,WAS,LAS,2018,1041800201385,16580,validated,201911,1,matched,playbyplayv2,1611661320,201911|203399|203403|204333|1627672,complete,playbyplay_inferred,201502|202650|203014|203029|203824,complete,playbyplay_inferred
Shot Chart Detail,1041800311,100,1627672,Aerial Powers,1611661322,Washington Mystics,1,1,9,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-16,182,1,0,20180826,ATL,WAS,2018,1041800311100,5310,validated,,0,matched,playbyplayv2,1611661330,201506|201911|203403|204333|1627672,complete,playbyplay_inferred,201904|203026|203410|204322|1628881,complete,playbyplay_inferred
Shot Chart Detail,1041800311,119,1627672,Aerial Powers,1611661322,Washington Mystics,2,9,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,0,20180826,ATL,WAS,2018,1041800311119,6220,validated,,0,matched,playbyplayv2,1611661330,201911|203399|203403|203437|1627672,complete,playbyplay_inferred,201904|203026|203410|204322|1628881,complete,playbyplay_inferred
Shot Chart Detail,1041800311,413,1627672,Aerial Powers,1611661322,Washington Mystics,4,7,22,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-25,156,1,0,20180826,ATL,WAS,2018,1041800311413,19580,validated,,0,matched,playbyplayv2,1611661330,201506|201911|203399|204333|1627672,complete,playbyplay_inferred,201904|203026|203410|204322|1628881,complete,playbyplay_inferred
Shot Chart Detail,1041800311,415,1627672,Aerial Powers,1611661322,Washington Mystics,4,7,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,182,147,1,0,20180826,ATL,WAS,2018,1041800311415,19660,validated,,0,matched,playbyplayv2,1611661330,201506|201911|203399|204333|1627672,complete,playbyplay_inferred,201904|203026|203410|204322|1628881,complete,playbyplay_inferred
Shot Chart Detail,1041800312,114,1627672,Aerial Powers,1611661322,Washington Mystics,1,1,17,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-69,45,1,1,20180828,ATL,WAS,2018,1041800312114,5230,validated,,0,matched,playbyplayv2,1611661330,201911|203399|203403|203437|1627672,complete,playbyplay_inferred,203026|203410|204322|1628279|1628881,complete,playbyplay_inferred
Shot Chart Detail,1041800312,126,1627672,Aerial Powers,1611661322,Washington Mystics,1,0,34,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,0,184,1,1,20180828,ATL,WAS,2018,1041800312126,5660,validated,,0,matched,playbyplayv2,1611661330,201911|203399|203403|203437|1627672,complete,playbyplay_inferred,203026|203410|204322|204355|1628881,complete,playbyplay_inferred
