GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1041800211,105,202657,Angel Robinson,1611661317,Phoenix Mercury,1,0,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-155,10,1,1,20180823,CON,PHO,2018,1041800211105,5700,validated,201886,1,matched,playbyplayv2,1611661323,100940|201507|201886|201896|202657,complete,playbyplay_inferred,202662|203823|203826|1627671|1627675,complete,playbyplay_inferred
Shot Chart Detail,1041800211,163,202657,Angel Robinson,1611661317,Phoenix Mercury,2,6,5,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20180823,CON,PHO,2018,1041800211163,8350,validated,,0,matched,playbyplayv2,1611661323,100940|201886|202657|203389|203398,complete,playbyplay_inferred,203406|203823|1627670|1627671|1627673,complete,playbyplay_inferred
Shot Chart Detail,1041800301,163,202657,Angel Robinson,1611661317,Phoenix Mercury,2,6,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,25,1,1,20180826,SEA,PHO,2018,1041800301163,8080,validated,201886,1,matched,playbyplayv2,1611661328,100940|201507|201886|201896|202657,complete,playbyplay_inferred,100720|202252|203827|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041800301,390,202657,Angel Robinson,1611661317,Phoenix Mercury,4,8,31,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-88,163,1,0,20180826,SEA,PHO,2018,1041800301390,18890,validated,,0,matched,playbyplayv2,1611661328,201507|201886|202657|203389|203855,complete,playbyplay_inferred,201518|201907|204319|204321|1628886,complete,playbyplay_inferred
Shot Chart Detail,1041800301,414,202657,Angel Robinson,1611661317,Phoenix Mercury,4,7,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,9,1,1,20180826,SEA,PHO,2018,1041800301414,19600,validated,201507,1,matched,playbyplayv2,1611661328,201507|202657|203389|203398|203855,complete,playbyplay_inferred,100720|201518|202252|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041800301,418,202657,Angel Robinson,1611661317,Phoenix Mercury,4,6,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,0,1,1,20180826,SEA,PHO,2018,1041800301418,19920,validated,201507,1,matched,playbyplayv2,1611661328,201507|202657|203389|203398|203855,complete,playbyplay_inferred,100720|201518|202252|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041800302,89,202657,Angel Robinson,1611661317,Phoenix Mercury,1,3,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-70,156,1,1,20180828,SEA,PHO,2018,104180030289,4130,validated,203855,1,matched,playbyplayv2,1611661328,100940|201886|201896|202657|203855,complete,playbyplay_inferred,100720|202252|203827|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041800302,108,202657,Angel Robinson,1611661317,Phoenix Mercury,1,1,26,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20180828,SEA,PHO,2018,1041800302108,5140,validated,201886,1,matched,playbyplayv2,1611661328,100940|201507|201886|202657|203855,complete,playbyplay_inferred,100720|202252|203827|1627668|1628886,complete,playbyplay_inferred
Shot Chart Detail,1041800302,293,202657,Angel Robinson,1611661317,Phoenix Mercury,3,4,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-48,171,1,0,20180828,SEA,PHO,2018,1041800302293,15150,validated,,0,matched,playbyplayv2,1611661328,100940|201886|201896|202657|203398,complete,playbyplay_inferred,100720|202252|203827|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041800302,524,202657,Angel Robinson,1611661317,Phoenix Mercury,5,1,52,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,36,1,0,20180828,SEA,PHO,2018,1041800302524,25880,validated,,0,matched,playbyplayv2,1611661328,100940|201067|201886|201896|202657,complete,playbyplay_inferred,100720|202252|203827|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1041800302,527,202657,Angel Robinson,1611661317,Phoenix Mercury,5,1,51,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-66,18,1,0,20180828,SEA,PHO,2018,1041800302527,25890,validated,,0,matched,playbyplayv2,1611661328,100940|201067|201886|201896|202657,complete,playbyplay_inferred,100720|202252|203827|204319|1627668,complete,playbyplay_inferred
