GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022200011,171,1630452,Rennia Davis,1611661324,Minnesota Lynx,2,9,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,12,1,1,20220510,IND,MIN,2022,1022200011171,6390,validated,1629491,1,matched,playbyplayv2,1611661325,203389|1629491|1629524|1630452|1631263,complete,playbyplay_inferred,1628909|1628927|1630101|1631019|1631031,complete,playbyplay_inferred
Shot Chart Detail,1022200153,233,1630452,Rennia Davis,1611661325,Indiana Fever,2,4,58,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-131,83,1,0,20220717,SEA,IND,2022,1022200153233,9020,validated,,0,matched,playbyplayv2,1611661328,202658|1628242|1630452|1631019|1631062,complete,playbyplay_inferred,100720|202250|203855|204319|1627668,complete,playbyplay_inferred
Shot Chart Detail,1022200156,373,1630452,Rennia Davis,1611661325,Indiana Fever,3,1,11,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,44,95,1,0,20220719,LAS,IND,2022,1022200156373,17290,validated,,0,matched,playbyplayv2,1611661320,202658|1627676|1628242|1630452|1631019,complete,playbyplay_inferred,203014|203823|1628882|1628886|1629478,complete,playbyplay_inferred
Shot Chart Detail,1022200156,376,1630452,Rennia Davis,1611661325,Indiana Fever,3,1,8,Missed Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,43,87,1,0,20220719,LAS,IND,2022,1022200156376,17320,validated,,0,matched,playbyplayv2,1611661320,202658|1627676|1628242|1630452|1631019,complete,playbyplay_inferred,203014|203823|1628882|1628886|1629478,complete,playbyplay_inferred
Shot Chart Detail,1022200156,378,1630452,Rennia Davis,1611661325,Indiana Fever,3,1,6,Missed Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,26,63,1,0,20220719,LAS,IND,2022,1022200156378,17340,validated,,0,matched,playbyplayv2,1611661320,202658|1627676|1628242|1630452|1631019,complete,playbyplay_inferred,203014|203823|1628882|1628886|1629478,complete,playbyplay_inferred
Shot Chart Detail,1022200173,516,1630452,Rennia Davis,1611661325,Indiana Fever,4,1,40,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,2,76,1,0,20220729,IND,LVA,2022,1022200173516,23000,validated,,0,matched,playbyplayv2,1611661319,1628242|1630452|1631019|1631086|1631089,complete,playbyplay_inferred,202641|203849|1630387|1631006|1631013,complete,playbyplay_inferred
Shot Chart Detail,1022200173,544,1630452,Rennia Davis,1611661325,Indiana Fever,4,0,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,39,250,1,0,20220729,IND,LVA,2022,1022200173544,23810,validated,,0,matched,playbyplayv2,1611661319,1628242|1630452|1631062|1631086|1631089,complete,playbyplay_inferred,202641|203849|1630387|1631006|1631013,complete,playbyplay_inferred
Shot Chart Detail,1022200173,546,1630452,Rennia Davis,1611661325,Indiana Fever,4,0,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,108,142,1,1,20220729,IND,LVA,2022,1022200173546,23900,validated,1631089,1,matched,playbyplayv2,1611661319,1628242|1630452|1631062|1631086|1631089,complete,playbyplay_inferred,202641|203849|1630387|1631006|1631013,complete,playbyplay_inferred
Shot Chart Detail,1022200179,503,1630452,Rennia Davis,1611661325,Indiana Fever,4,4,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,221,1,0,20220731,IND,LVA,2022,1022200179503,21260,validated,,0,matched,playbyplayv2,1611661319,1628242|1630452|1631019|1631086|1631089,complete,playbyplay_inferred,202641|203849|1630387|1631006|1631013,complete,playbyplay_inferred
Shot Chart Detail,1022200179,554,1630452,Rennia Davis,1611661325,Indiana Fever,4,0,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,20,1,1,20220731,IND,LVA,2022,1022200179554,23900,validated,1631089,1,matched,playbyplayv2,1611661319,1627676|1630452|1631019|1631083|1631089,complete,playbyplay_inferred,202641|203849|1630387|1631006|1631013,complete,playbyplay_inferred
Shot Chart Detail,1022200207,180,1630452,Rennia Davis,1611661325,Indiana Fever,2,6,35,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,100,164,1,0,20220812,IND,WAS,2022,1022200207180,8050,validated,,0,matched,playbyplayv2,1611661322,1630452|1631019|1631083|1631086|1631089,complete,playbyplay_inferred,202252|203403|204333|1628878|1631022,complete,playbyplay_inferred
Shot Chart Detail,1022200207,558,1630452,Rennia Davis,1611661325,Indiana Fever,4,0,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,61,69,1,1,20220812,IND,WAS,2022,1022200207558,23710,validated,,0,matched,playbyplayv2,1611661322,1628927|1630452|1631019|1631062|1631083,complete,playbyplay_inferred,203403|1628278|1630957|1631022|1631091,complete,playbyplay_inferred
Shot Chart Detail,1022200213,521,1630452,Rennia Davis,1611661325,Indiana Fever,4,2,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,13,1,1,20220814,WAS,IND,2022,1022200213521,22550,validated,1631083,1,matched,playbyplayv2,1611661322,1628242|1630452|1631062|1631083|1631086,complete,playbyplay_inferred,203403|1628278|1630119|1631022|1631091,complete,playbyplay_inferred
