GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022200003,126,1628242,Emma Cannon,1611661317,Phoenix Mercury,1,0,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,149,135,1,1,20220506,PHO,LVA,2022,1022200003126,5760,validated,203035,1,matched,playbyplayv2,1611661319,202250|203035|203400|1628242|1629482,complete,playbyplay_inferred,202641|203849|204324|1628276|1631006,complete,playbyplay_inferred
Shot Chart Detail,1022200071,122,1628242,Emma Cannon,1611661325,Indiana Fever,1,0,10,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20220608,CON,IND,2022,1022200071122,5900,validated,203829,1,matched,playbyplayv2,1611661323,203829|1628242|1628909|1631083|1631089,complete,playbyplay_inferred,201886|1627673|1628280|1629567|1630096,complete,playbyplay_inferred
Shot Chart Detail,1022200074,222,1628242,Emma Cannon,1611661325,Indiana Fever,2,3,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,15,1,1,20220610,IND,NYL,2022,1022200074222,9980,validated,1628927,1,matched,playbyplayv2,1611661313,1627676|1628242|1628909|1628927|1631019,complete,playbyplay_inferred,203827|203828|1628244|1629477|1630101,complete,playbyplay_inferred
Shot Chart Detail,1022200074,384,1628242,Emma Cannon,1611661325,Indiana Fever,3,1,33,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-119,0,1,0,20220610,IND,NYL,2022,1022200074384,17070,validated,,0,matched,playbyplayv2,1611661313,1628242|1628909|1628927|1631019|1631089,complete,playbyplay_inferred,203827|1629477|1629546|1629566|1630446,complete,playbyplay_inferred
Shot Chart Detail,1022200074,389,1628242,Emma Cannon,1611661325,Indiana Fever,3,0,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,25,1,1,20220610,IND,NYL,2022,1022200074389,17430,validated,1628927,1,matched,playbyplayv2,1611661313,1628242|1628909|1628927|1631019|1631089,complete,playbyplay_inferred,203827|1629477|1629546|1629566|1630446,complete,playbyplay_inferred
Shot Chart Detail,1022200082,155,1628242,Emma Cannon,1611661325,Indiana Fever,2,8,44,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,31,1,0,20220612,MIN,IND,2022,1022200082155,6760,validated,,0,matched,playbyplayv2,1611661324,1627676|1628242|1628927|1631031|1631089,complete,playbyplay_inferred,203024|1627671|1627672|1629491|1631091,complete,playbyplay_inferred
Shot Chart Detail,1022200087,374,1628242,Emma Cannon,1611661325,Indiana Fever,3,3,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,140,190,1,0,20220615,IND,PHO,2022,1022200087374,15640,validated,,0,matched,playbyplayv2,1611661317,202658|1628242|1628909|1628927|1631019,complete,playbyplay_inferred,100940|202250|203035|203400|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022200087,379,1628242,Emma Cannon,1611661325,Indiana Fever,3,3,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,0,20220615,IND,PHO,2022,1022200087379,15730,validated,,0,matched,playbyplayv2,1611661317,202658|1628242|1628909|1628927|1631019,complete,playbyplay_inferred,100940|202250|203035|203400|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022200087,425,1628242,Emma Cannon,1611661325,Indiana Fever,3,0,33,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-21,96,1,0,20220615,IND,PHO,2022,1022200087425,17670,validated,,0,matched,playbyplayv2,1611661317,1627676|1628242|1628927|1631019|1631089,complete,playbyplay_inferred,203035|1628287|1628890|1629484|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022200087,433,1628242,Emma Cannon,1611661325,Indiana Fever,3,0,7,Made Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,34,1,1,20220615,IND,PHO,2022,1022200087433,17930,validated,,0,matched,playbyplayv2,1611661317,1627676|1628242|1628927|1631019|1631089,complete,playbyplay_inferred,203035|1628287|1628890|1629484|1629488,complete,playbyplay_inferred
Shot Chart Detail,1022200087,444,1628242,Emma Cannon,1611661325,Indiana Fever,4,9,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-136,-15,1,0,20220615,IND,PHO,2022,1022200087444,18200,validated,,0,matched,playbyplayv2,1611661317,1627676|1628242|1628927|1631019|1631089,complete,playbyplay_inferred,100940|202250|203400|1628890|1629488,complete,playbyplay_inferred
