GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022200001,114,1629501,Alanna Smith,1611661325,Indiana Fever,1,1,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,227,115,1,0,20220506,WAS,IND,2022,1022200001114,5240,validated,,0,matched,playbyplayv2,1611661322,1628927|1629501|1631083|1631086|1631089,complete,playbyplay_inferred,203403|204333|1628278|1630957|1631022,complete,playbyplay_inferred
Shot Chart Detail,1022200007,61,1629501,Alanna Smith,1611661325,Indiana Fever,1,6,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,201,172,1,1,20220508,IND,LAS,2022,102220000761,2340,validated,1631089,1,matched,playbyplayv2,1611661320,1627676|1628909|1629501|1631019|1631089,complete,playbyplay_inferred,203014|203823|1628279|1628882|1630150,complete,playbyplay_inferred
Shot Chart Detail,1022200007,246,1629501,Alanna Smith,1611661325,Indiana Fever,2,5,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-156,221,1,0,20220508,IND,LAS,2022,1022200007246,8410,validated,,0,matched,playbyplayv2,1611661320,1627676|1628909|1628927|1629501|1631089,complete,playbyplay_inferred,203014|203823|1628279|1630150|1631056,complete,playbyplay_inferred
Shot Chart Detail,1022200007,258,1629501,Alanna Smith,1611661325,Indiana Fever,2,5,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,99,-7,1,0,20220508,IND,LAS,2022,1022200007258,9000,validated,,0,matched,playbyplayv2,1611661320,1627676|1628927|1629501|1631086|1631089,complete,playbyplay_inferred,203014|203823|1628279|1630150|1631056,complete,playbyplay_inferred
Shot Chart Detail,1022200007,307,1629501,Alanna Smith,1611661325,Indiana Fever,2,1,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-144,227,1,0,20220508,IND,LAS,2022,1022200007307,10940,validated,,0,matched,playbyplayv2,1611661320,1627676|1628909|1629501|1631019|1631089,complete,playbyplay_inferred,202633|203014|1628279|1628882|1628886,complete,playbyplay_inferred
Shot Chart Detail,1022200007,328,1629501,Alanna Smith,1611661325,Indiana Fever,2,0,37,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,-13,1,1,20220508,IND,LAS,2022,1022200007328,11630,validated,1631089,1,matched,playbyplayv2,1611661320,1627676|1628909|1629501|1631019|1631089,complete,playbyplay_inferred,203014|203823|1628279|1628882|1628886,complete,playbyplay_inferred
Shot Chart Detail,1022200007,483,1629501,Alanna Smith,1611661325,Indiana Fever,3,0,45,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-18,190,1,0,20220508,IND,LAS,2022,1022200007483,17550,validated,,0,matched,playbyplayv2,1611661320,1628927|1629501|1631083|1631086|1631089,complete,playbyplay_inferred,202633|203014|1628882|1628886|1630150,complete,playbyplay_inferred
Shot Chart Detail,1022200007,517,1629501,Alanna Smith,1611661325,Indiana Fever,4,8,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-91,230,1,1,20220508,IND,LAS,2022,1022200007517,19070,validated,1630101,1,matched,playbyplayv2,1611661320,1628909|1629501|1630101|1631083|1631086,complete,playbyplay_inferred,202633|1628882|1628886|1630150|1630444,complete,playbyplay_inferred
Shot Chart Detail,1022200007,527,1629501,Alanna Smith,1611661325,Indiana Fever,4,7,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,22,1,1,20220508,IND,LAS,2022,1022200007527,19730,validated,1628909,1,matched,playbyplayv2,1611661320,1628909|1629501|1630101|1631083|1631086,complete,playbyplay_inferred,202633|1628882|1628886|1630150|1630444,complete,playbyplay_inferred
Shot Chart Detail,1022200011,39,1629501,Alanna Smith,1611661325,Indiana Fever,1,7,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20220510,IND,MIN,2022,102220001139,1420,validated,1631089,1,matched,playbyplayv2,1611661324,1627676|1628909|1629501|1631019|1631089,complete,playbyplay_inferred,201480|201881|203389|1627672|1629491,complete,playbyplay_inferred
Shot Chart Detail,1022200011,268,1629501,Alanna Smith,1611661325,Indiana Fever,2,2,3,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,15,1,1,20220510,IND,MIN,2022,1022200011268,10770,validated,1630101,1,matched,playbyplayv2,1611661324,1627676|1628927|1629501|1630101|1631019,complete,playbyplay_inferred,201480|203389|1627671|1629491|1629524,complete,playbyplay_inferred
