GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,RAW_PERIOD,RAW_MINUTES_REMAINING,RAW_SECONDS_REMAINING,SHOT_CLOCK_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1040500131,55,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,12,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050831,LAS,SAC,2005,104050013155,4360,validated,1,12,44,source,100234,1,matched,playbyplayv2,1611661320,100234|100243|100919|100944|101040,complete,playbyplay_inferred,100003|100347|100356|100931|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500131,102,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,7,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050831,LAS,SAC,2005,1040500131102,7700,validated,1,7,10,source,,0,matched,playbyplayv2,1611661320,100419|100731|100874|100944|101027,complete,playbyplay_inferred,100003|100356|100724|100930|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500131,119,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,4,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,18,84,1,1,20050831,LAS,SAC,2005,1040500131119,9150,validated,1,4,45,source,100243,1,matched,playbyplayv2,1611661320,100234|100243|100731|100874|100944,complete,playbyplay_inferred,100003|100356|100724|100930|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500131,183,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,2,17,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050831,LAS,SAC,2005,1040500131183,13700,validated,1,0,30,pbp_verified_2005_halftime,,0,matched,playbyplayv2,1611661320,100234|100419|100919|100944|101040,complete,playbyplay_inferred,100003|100008|100012|100347|100356,complete,playbyplay_inferred
Shot Chart Detail,1040500131,164,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,0,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050831,LAS,SAC,2005,1040500131164,11850,validated,1,0,15,source,100419,1,matched,playbyplayv2,1611661320,100234|100419|100874|100919|100944,complete,playbyplay_inferred,100003|100347|100356|100724|100987,complete,playbyplay_inferred
Shot Chart Detail,1040500131,302,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,2,2,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20050831,LAS,SAC,2005,1040500131302,22470,validated,2,2,33,source,,0,matched,playbyplayv2,1611661320,100234|100419|100919|100944|101040,complete,playbyplay_inferred,100003|100356|100724|100930|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500132,11,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,18,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,112,74,1,1,20050902,SAC,LAS,2005,104050013211,620,validated,1,18,58,source,,0,matched,playbyplayv2,1611661320,100234|100419|100919|100944|101040,complete,playbyplay_inferred,100003|100347|100356|100724|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500132,15,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,18,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-2,145,1,0,20050902,SAC,LAS,2005,104050013215,1000,validated,1,18,20,source,,0,matched,playbyplayv2,1611661320,100234|100419|100919|100944|101040,complete,playbyplay_inferred,100003|100347|100356|100724|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500132,19,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,18,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20050902,SAC,LAS,2005,104050013219,1200,validated,1,18,0,source,100419,1,matched,playbyplayv2,1611661320,100234|100419|100919|100944|101040,complete,playbyplay_inferred,100003|100347|100356|100724|100988,complete,playbyplay_inferred
Shot Chart Detail,1040500132,29,100944,Rebekkah Brunson,1611661318,Sacramento Monarchs,1,15,49,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,33,1,0,20050902,SAC,LAS,2005,104050013229,2510,validated,1,15,49,source,,0,matched,playbyplayv2,1611661320,100234|100419|100919|100944|101040,complete,playbyplay_inferred,100003|100347|100356|100724|100988,complete,playbyplay_inferred
