GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1040800112,135,100835,Erin Thorn,1611661313,New York Liberty,2,5,57,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-5,128,1,1,20080920,CON,NYL,2008,1040800112135,8430,validated,101028,1,matched,playbyplayv2,1611661323,100835|101019|101028|101047|101049,complete,playbyplay_inferred,100347|100658|100723|100915|201483,complete,playbyplay_inferred
Shot Chart Detail,1040800112,138,100835,Erin Thorn,1611661313,New York Liberty,2,5,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-8,1,1,20080920,CON,NYL,2008,1040800112138,8620,validated,101028,1,matched,playbyplayv2,1611661323,100835|101019|101028|101047|101049,complete,playbyplay_inferred,100347|100658|100723|100915|201483,complete,playbyplay_inferred
Shot Chart Detail,1040800112,191,100835,Erin Thorn,1611661313,New York Liberty,2,1,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,242,-1,1,0,20080920,CON,NYL,2008,1040800112191,11350,validated,,0,matched,playbyplayv2,1611661323,100835|100937|101049|201047|201507,complete,playbyplay_inferred,100725|100915|200681|200704|201058,complete,playbyplay_inferred
Shot Chart Detail,1040800112,192,100835,Erin Thorn,1611661313,New York Liberty,2,0,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,20,1,1,20080920,CON,NYL,2008,1040800112192,11600,validated,,0,matched,playbyplayv2,1611661323,100835|100937|101049|201047|201507,complete,playbyplay_inferred,100725|100915|200681|200704|201058,complete,playbyplay_inferred
Shot Chart Detail,1040800112,391,100835,Erin Thorn,1611661313,New York Liberty,4,0,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-138,178,1,0,20080920,CON,NYL,2008,1040800112391,23840,validated,,0,matched,playbyplayv2,1611661323,100835|100937|101019|101028|101049,complete,playbyplay_inferred,100347|100658|100723|200704|201483,complete,playbyplay_inferred
Shot Chart Detail,1040800113,135,100835,Erin Thorn,1611661313,New York Liberty,2,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-126,183,1,1,20080922,CON,NYL,2008,1040800113135,8470,validated,201507,1,matched,playbyplayv2,1611661323,100835|100937|101019|101049|201507,complete,playbyplay_inferred,100347|100723|100915|200681|200704,complete,playbyplay_inferred
Shot Chart Detail,1040800201,386,100835,Erin Thorn,1611661313,New York Liberty,4,0,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20080926,NYL,DET,2008,1040800201386,23770,validated,,0,matched,playbyplayv2,1611661321,100835|100937|101019|101028|101049,complete,playbyplay_inferred,100404|100412|100414|100639|201487,complete,playbyplay_inferred
Shot Chart Detail,1040800202,130,100835,Erin Thorn,1611661313,New York Liberty,2,5,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,195,115,1,1,20080928,DET,NYL,2008,1040800202130,8900,validated,,0,matched,playbyplayv2,1611661321,100835|101019|101028|101047|101049,complete,playbyplay_inferred,100412|100414|100639|100888|201487,complete,playbyplay_inferred
Shot Chart Detail,1040800202,293,100835,Erin Thorn,1611661313,New York Liberty,4,8,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,21,112,183,1,1,20080928,DET,NYL,2008,1040800202293,19160,validated,101028,1,matched,playbyplayv2,1611661321,100835|100937|101028|101049|201503,complete,playbyplay_inferred,100404|100412|100414|100639|101025,complete,playbyplay_inferred
Shot Chart Detail,1040800202,360,100835,Erin Thorn,1611661313,New York Liberty,4,1,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-118,54,1,0,20080928,DET,NYL,2008,1040800202360,22950,validated,,0,matched,playbyplayv2,1611661321,100835|100937|101019|101028|101049,complete,playbyplay_inferred,100404|100412|100414|100639|201487,complete,playbyplay_inferred
Shot Chart Detail,1040800202,372,100835,Erin Thorn,1611661313,New York Liberty,4,0,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,18,1,0,20080928,DET,NYL,2008,1040800202372,23820,validated,,0,matched,playbyplayv2,1611661321,100835|100937|101019|101028|101049,complete,playbyplay_inferred,100404|100412|100414|100639|201487,complete,playbyplay_inferred
Shot Chart Detail,1040800203,329,100835,Erin Thorn,1611661313,New York Liberty,4,5,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,17,1,0,20080929,DET,NYL,2008,1040800203329,20860,validated,,0,matched,playbyplayv2,1611661321,100835|101047|101049|201503|201507,complete,playbyplay_inferred,100404|100412|100639|201487|201489,complete,playbyplay_inferred
