GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021500003,368,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,6,14,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,20.0,26.0,1,0,20150605,MIN,TUL,2015,1021500003368,20260,validated,,0,matched,playbyplayv2,1611661324,201907|202640|203400|203824|203849,complete,playbyplay_inferred,100915|100944|200671|202632|203016,complete,playbyplay_inferred
Shot Chart Detail,1021500012,437,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,2,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10.0,-108.0,1.0,1,0,20150609,TUL,SEA,2015,1021500012437,22780,validated,,0,matched,playbyplayv2,1611661328,203029|203037|203835|203849|204331,complete,playbyplay_inferred,201895|201904|204317|204319|204321,complete,playbyplay_inferred
Shot Chart Detail,1021500026,336,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,7,7,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10.0,-78.0,64.0,1,0,20150616,TUL,SAN,2015,1021500026336,19730,validated,,0,matched,playbyplayv2,1611661319,203029|203835|203849|204320|204331,complete,playbyplay_inferred,100952|200674|202658|203825|204324,complete,playbyplay_inferred
Shot Chart Detail,1021500026,356,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,5,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16.0,-152.0,53.0,1,0,20150616,TUL,SAN,2015,1021500026356,20730,validated,,0,matched,playbyplayv2,1611661319,203029|203835|203849|204320|204331,complete,playbyplay_inferred,100952|200674|202658|203825|204324,complete,playbyplay_inferred
Shot Chart Detail,1021500026,381,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,2,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,-51.0,15.0,1,0,20150616,TUL,SAN,2015,1021500026381,22340,validated,,0,matched,playbyplayv2,1611661319,203029|203037|203835|203849|204331,complete,playbyplay_inferred,200674|202634|202641|203405|204337,complete,playbyplay_inferred
Shot Chart Detail,1021500026,410,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,0,0,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-30.0,22.0,1,0,20150616,TUL,SAN,2015,1021500026410,24000,validated,,0,matched,playbyplayv2,1611661319,203029|203037|203835|203849|204331,complete,playbyplay_inferred,200674|202634|202641|203405|204337,complete,playbyplay_inferred
Shot Chart Detail,1021500056,131,203849,Theresa Plaisance,1611661321,Tulsa Shock,2,8,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14.0,143.0,42.0,1,0,20150630,SEA,TUL,2015,1021500056131,7000,validated,,0,matched,playbyplayv2,1611661328,202640|203029|203835|203849|204320,complete,playbyplay_inferred,100720|201518|201904|202249|202626,complete,playbyplay_inferred
Shot Chart Detail,1021500059,172,203849,Theresa Plaisance,1611661321,Tulsa Shock,2,2,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,124.0,200.0,1,1,20150702,PHO,TUL,2015,1021500059172,10500,validated,202640,1,matched,playbyplayv2,1611661317,100888|202640|203029|203835|203849,complete,playbyplay_inferred,200676|201049|201507|201886|203398,complete,playbyplay_inferred
Shot Chart Detail,1021500059,183,203849,Theresa Plaisance,1611661321,Tulsa Shock,2,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-108.0,222.0,1,0,20150702,PHO,TUL,2015,1021500059183,11420,validated,,0,matched,playbyplayv2,1611661317,100888|202640|203029|203835|203849,complete,playbyplay_inferred,200676|201049|201886|203398|204336,complete,playbyplay_inferred
Shot Chart Detail,1021500059,303,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,9,40,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8.0,-52.0,63.0,1,0,20150702,PHO,TUL,2015,1021500059303,18200,validated,,0,matched,playbyplayv2,1611661317,202640|203835|203849|204320|204331,complete,playbyplay_inferred,100937|200691|201049|204297|204336,complete,playbyplay_inferred
Shot Chart Detail,1021500059,417,203849,Theresa Plaisance,1611661321,Tulsa Shock,4,0,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,24.0,-235.0,83.0,1,0,20150702,PHO,TUL,2015,1021500059417,23440,validated,,0,matched,playbyplayv2,1611661317,203037|203835|203849|204320|204331,complete,playbyplay_inferred,100937|200691|203839|204298|204336,complete,playbyplay_inferred
