GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021500003,92,204320,Amanda Zahui B,1611661321,Tulsa Shock,1,2,13,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13.0,-128.0,39.0,1,0,20150605,MIN,TUL,2015,102150000392,4670,validated,,0,matched,playbyplayv2,1611661324,201907|203029|203824|203835|204320,complete,playbyplay_inferred,100915|100944|202632|203016|203834,complete,playbyplay_inferred
Shot Chart Detail,1021500008,106,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,7,47,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,-11.0,52.0,1,1,20150606,TUL,CHI,2015,1021500008106,7330,validated,,0,matched,playbyplayv2,1611661329,203029|203037|203824|203835|204320,complete,playbyplay_inferred,200665|201516|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500008,122,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,6,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,24.0,11.0,1,1,20150606,TUL,CHI,2015,1021500008122,8110,validated,,0,matched,playbyplayv2,1611661329,203029|203037|203824|203835|204320,complete,playbyplay_inferred,200665|201477|202664|203067|203887,complete,playbyplay_inferred
Shot Chart Detail,1021500008,129,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,6,2,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,3.0,1,1,20150606,TUL,CHI,2015,1021500008129,8380,validated,,0,matched,playbyplayv2,1611661329,203029|203037|203824|203835|204320,complete,playbyplay_inferred,200665|201477|202664|203887|204309,complete,playbyplay_inferred
Shot Chart Detail,1021500008,182,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,1,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16.0,-79.0,143.0,1,0,20150606,TUL,CHI,2015,1021500008182,11250,validated,,0,matched,playbyplayv2,1611661329,100888|202640|203400|203824|204320,complete,playbyplay_inferred,200665|201477|201516|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500012,123,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,8,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13.0,130.0,7.0,1,0,20150609,TUL,SEA,2015,1021500012123,6730,validated,,0,matched,playbyplayv2,1611661328,201907|203029|203824|203835|204320,complete,playbyplay_inferred,100720|201518|202626|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500012,135,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,7,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9.0,-97.0,17.0,1,0,20150609,TUL,SEA,2015,1021500012135,7520,validated,,0,matched,playbyplayv2,1611661328,201907|203029|203824|203835|204320,complete,playbyplay_inferred,100720|201518|202626|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500012,381,204320,Amanda Zahui B,1611661321,Tulsa Shock,4,8,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,108.0,205.0,1,1,20150609,TUL,SEA,2015,1021500012381,19190,validated,203400,1,matched,playbyplayv2,1611661328,100888|203400|203835|204320|204331,complete,playbyplay_inferred,201895|201904|202249|204319|204321,complete,playbyplay_inferred
Shot Chart Detail,1021500022,122,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,9,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10.0,17.0,99.0,1,0,20150614,SAN,TUL,2015,1021500022122,6230,validated,,0,matched,playbyplayv2,1611661319,203029|203037|203400|203835|204320,complete,playbyplay_inferred,100952|200674|202634|202641|203405,complete,playbyplay_inferred
Shot Chart Detail,1021500022,138,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,8,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23.0,40.0,230.0,1,0,20150614,SAN,TUL,2015,1021500022138,7180,validated,,0,matched,playbyplayv2,1611661319,203029|203037|203835|204320|204331,complete,playbyplay_inferred,100952|200674|202634|202641|203405,complete,playbyplay_inferred
Shot Chart Detail,1021500022,151,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,7,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,23.0,-8.0,1,1,20150614,SAN,TUL,2015,1021500022151,7740,validated,100888,1,matched,playbyplayv2,1611661319,100888|202640|203835|204320|204331,complete,playbyplay_inferred,100952|202658|203405|203825|204324,complete,playbyplay_inferred
Shot Chart Detail,1021500022,201,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,2,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19.0,-106.0,167.0,1,1,20150614,SAN,TUL,2015,1021500022201,10780,validated,203029,1,matched,playbyplayv2,1611661319,201907|202640|203029|203400|204320,complete,playbyplay_inferred,100952|202251|202658|203825|204324,complete,playbyplay_inferred
Shot Chart Detail,1021500022,205,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,1,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,-6.0,1,0,20150614,SAN,TUL,2015,1021500022205,11070,validated,,0,matched,playbyplayv2,1611661319,201907|202640|203029|203400|204320,complete,playbyplay_inferred,100952|202251|202658|203825|204324,complete,playbyplay_inferred
Shot Chart Detail,1021500022,217,204320,Amanda Zahui B,1611661321,Tulsa Shock,2,0,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,28.0,-6.0,1,0,20150614,SAN,TUL,2015,1021500022217,11450,validated,,0,matched,playbyplayv2,1611661319,201907|202640|203029|203400|204320,complete,playbyplay_inferred,200674|202251|202658|203825|204337,complete,playbyplay_inferred
Shot Chart Detail,1021500022,314,204320,Amanda Zahui B,1611661321,Tulsa Shock,3,3,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,-8.0,1,0,20150614,SAN,TUL,2015,1021500022314,15840,validated,,0,matched,playbyplayv2,1611661319,202640|203029|203037|203400|204320,complete,playbyplay_inferred,100952|200674|202658|203405|203825,complete,playbyplay_inferred
Shot Chart Detail,1021500022,327,204320,Amanda Zahui B,1611661321,Tulsa Shock,3,3,19,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,4.0,0.0,1,0,20150614,SAN,TUL,2015,1021500022327,16010,validated,,0,matched,playbyplayv2,1611661319,202640|203029|203037|203400|204320,complete,playbyplay_inferred,200674|202641|202658|203405|203825,complete,playbyplay_inferred
Shot Chart Detail,1021500022,339,204320,Amanda Zahui B,1611661321,Tulsa Shock,3,2,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11.0,-114.0,-13.0,1,0,20150614,SAN,TUL,2015,1021500022339,16710,validated,,0,matched,playbyplayv2,1611661319,203029|203037|203400|203835|204320,complete,playbyplay_inferred,200674|202641|202658|203405|203825,complete,playbyplay_inferred
Shot Chart Detail,1021500026,48,204320,Amanda Zahui B,1611661321,Tulsa Shock,1,4,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,21.0,44.0,1,1,20150616,TUL,SAN,2015,102150002648,3380,validated,,0,matched,playbyplayv2,1611661319,201907|202640|203029|203400|204320,complete,playbyplay_inferred,100952|200674|202658|203405|203825,complete,playbyplay_inferred
