GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021500001,25,201067,Camille Smith,1611661323,Connecticut Sun,1,7,30,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-19.0,14.0,1,0,20150605,CON,WAS,2015,102150000125,1500,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,28,201067,Camille Smith,1611661323,Connecticut Sun,1,7,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,11.0,1,1,20150605,CON,WAS,2015,102150000128,1640,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,68,201067,Camille Smith,1611661323,Connecticut Sun,1,2,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,69.0,246.0,1,1,20150605,CON,WAS,2015,102150000168,4750,validated,203402,1,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,201056|203401|203416|203437|203866,complete,playbyplay_inferred
Shot Chart Detail,1021500001,71,201067,Camille Smith,1611661323,Connecticut Sun,1,1,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-175.0,172.0,1,0,20150605,CON,WAS,2015,102150000171,5030,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,201056|203401|203416|203437|203866,complete,playbyplay_inferred
Shot Chart Detail,1021500001,84,201067,Camille Smith,1611661323,Connecticut Sun,1,0,28,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8.0,78.0,34.0,1,1,20150605,CON,WAS,2015,102150000184,5720,validated,,0,matched,playbyplayv2,1611661322,201067|203410|203826|203833|204322,complete,playbyplay_inferred,201048|201056|203401|203828|203866,complete,playbyplay_inferred
Shot Chart Detail,1021500001,192,201067,Camille Smith,1611661323,Connecticut Sun,2,1,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,0.0,-2.0,1,1,20150605,CON,WAS,2015,1021500001192,11230,validated,202662,1,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203866|204333,complete,playbyplay_inferred
Shot Chart Detail,1021500001,196,201067,Camille Smith,1611661323,Connecticut Sun,2,0,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-21.0,36.0,1,0,20150605,CON,WAS,2015,1021500001196,11560,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203866,complete,playbyplay_inferred
Shot Chart Detail,1021500001,220,201067,Camille Smith,1611661323,Connecticut Sun,3,9,9,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-3.0,20.0,1,0,20150605,CON,WAS,2015,1021500001220,12510,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,236,201067,Camille Smith,1611661323,Connecticut Sun,3,7,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,17.0,22.0,1,0,20150605,CON,WAS,2015,1021500001236,13560,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,265,201067,Camille Smith,1611661323,Connecticut Sun,3,4,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25.0,-2.0,252.0,1,0,20150605,CON,WAS,2015,1021500001265,15510,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,201056|203401|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,373,201067,Camille Smith,1611661323,Connecticut Sun,4,6,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20.0,116.0,167.0,1,0,20150605,CON,WAS,2015,1021500001373,20320,validated,,0,matched,playbyplayv2,1611661322,201067|203410|203826|203833|204322,complete,playbyplay_inferred,100874|203416|203437|203828|204333,complete,playbyplay_inferred
Shot Chart Detail,1021500001,403,201067,Camille Smith,1611661323,Connecticut Sun,4,3,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23.0,-49.0,228.0,1,0,20150605,CON,WAS,2015,1021500001403,21640,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,441,201067,Camille Smith,1611661323,Connecticut Sun,4,1,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24.0,-125.0,216.0,1,0,20150605,CON,WAS,2015,1021500001441,23170,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500010,3,201067,Camille Smith,1611661323,Connecticut Sun,1,9,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-235.0,7.0,1,1,20150607,ATL,CON,2015,10215000103,300,validated,203402,1,matched,playbyplayv2,1611661330,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,5,201067,Camille Smith,1611661323,Connecticut Sun,1,9,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,146.0,178.0,1,0,20150607,ATL,CON,2015,10215000105,490,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,9,201067,Camille Smith,1611661323,Connecticut Sun,1,8,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16.0,-166.0,9.0,1,1,20150607,ATL,CON,2015,10215000109,800,validated,203826,1,matched,playbyplayv2,1611661330,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,68,201067,Camille Smith,1611661323,Connecticut Sun,1,4,34,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,-64.0,28.0,1,0,20150607,ATL,CON,2015,102150001068,3260,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203015|203402|203410,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,74,201067,Camille Smith,1611661323,Connecticut Sun,1,4,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,-68.0,231.0,1,0,20150607,ATL,CON,2015,102150001074,3590,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203015|203402|203410,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,267,201067,Camille Smith,1611661323,Connecticut Sun,3,7,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23.0,-90.0,216.0,1,1,20150607,ATL,CON,2015,1021500010267,13470,validated,203402,1,matched,playbyplayv2,1611661330,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,334,201067,Camille Smith,1611661323,Connecticut Sun,3,1,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,18.0,12.0,1,0,20150607,ATL,CON,2015,1021500010334,16860,validated,,0,matched,playbyplayv2,1611661330,201067|203408|203410|203833|204322,complete,playbyplay_inferred,101023|101033|202623|204328|204365,complete,playbyplay_inferred
Shot Chart Detail,1021500010,421,201067,Camille Smith,1611661323,Connecticut Sun,4,4,35,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19.0,-190.0,50.0,1,0,20150607,ATL,CON,2015,1021500010421,21250,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203402|203408|203410,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,431,201067,Camille Smith,1611661323,Connecticut Sun,4,3,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22.0,124.0,190.0,1,0,20150607,ATL,CON,2015,1021500010431,21630,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203402|203408|203410,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500013,14,201067,Camille Smith,1611661323,Connecticut Sun,1,8,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,4.0,15.0,1,1,20150611,CON,CHI,2015,102150001314,840,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|201477|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500013,69,201067,Camille Smith,1611661323,Connecticut Sun,1,4,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21.0,121.0,172.0,1,0,20150611,CON,CHI,2015,102150001369,3350,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203015|203402|203826,complete,playbyplay_inferred,200665|202638|202664|203399|204323,complete,playbyplay_inferred
Shot Chart Detail,1021500013,106,201067,Camille Smith,1611661323,Connecticut Sun,1,0,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,22.0,-187.0,131.0,1,1,20150611,CON,CHI,2015,1021500013106,5590,validated,203015,1,matched,playbyplayv2,1611661329,201067|203015|203826|203833|204322,complete,playbyplay_inferred,200665|201477|202638|203067|203857,complete,playbyplay_inferred
Shot Chart Detail,1021500013,144,201067,Camille Smith,1611661323,Connecticut Sun,2,8,22,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8.0,67.0,58.0,1,1,20150611,CON,CHI,2015,1021500013144,6980,validated,,0,matched,playbyplayv2,1611661329,201067|203402|203410|203826|203833,complete,playbyplay_inferred,200665|203067|203399|203857|204335,complete,playbyplay_inferred
Shot Chart Detail,1021500013,238,201067,Camille Smith,1611661323,Connecticut Sun,3,8,35,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,28.0,30.0,1,0,20150611,CON,CHI,2015,1021500013238,12850,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|201477|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500013,240,201067,Camille Smith,1611661323,Connecticut Sun,3,8,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,10.0,-2.0,1,1,20150611,CON,CHI,2015,1021500013240,12890,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|201477|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500013,332,201067,Camille Smith,1611661323,Connecticut Sun,4,9,24,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,0.0,34.0,1,0,20150611,CON,CHI,2015,1021500013332,18360,validated,,0,matched,playbyplayv2,1611661329,201067|203015|203402|203410|203833,complete,playbyplay_inferred,200665|203067|203857|203887|204335,complete,playbyplay_inferred
Shot Chart Detail,1021500013,444,201067,Camille Smith,1611661323,Connecticut Sun,4,0,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,97.0,227.0,1,0,20150611,CON,CHI,2015,1021500013444,23780,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|202638|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500020,54,201067,Camille Smith,1611661323,Connecticut Sun,1,4,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,-76.0,235.0,1,0,20150614,CON,ATL,2015,102150002054,3520,validated,,0,matched,playbyplayv2,1611661330,201067|203410|203826|203833|204322,complete,playbyplay_inferred,100812|101023|201492|201881|203026,complete,playbyplay_inferred
Shot Chart Detail,1021500027,24,201067,Camille Smith,1611661323,Connecticut Sun,1,6,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24.0,54.0,239.0,1,1,20150616,SEA,CON,2015,102150002724,1850,validated,203402,1,matched,playbyplayv2,1611661328,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100720|201518|202249|202252|202626,complete,playbyplay_inferred
Shot Chart Detail,1021500027,59,201067,Camille Smith,1611661323,Connecticut Sun,1,2,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,88.0,228.0,1,1,20150616,SEA,CON,2015,102150002759,4230,validated,203826,1,matched,playbyplayv2,1611661328,201067|202662|203015|203826|204322,complete,playbyplay_inferred,201895|201904|202252|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500027,63,201067,Camille Smith,1611661323,Connecticut Sun,1,2,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,31.0,45.0,1,0,20150616,SEA,CON,2015,102150002763,4610,validated,,0,matched,playbyplayv2,1611661328,201067|202662|203015|203826|204322,complete,playbyplay_inferred,201895|201904|202252|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500027,67,201067,Camille Smith,1611661323,Connecticut Sun,1,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,181.0,178.0,1,0,20150616,SEA,CON,2015,102150002767,4850,validated,,0,matched,playbyplayv2,1611661328,201067|202662|203015|203826|204322,complete,playbyplay_inferred,201895|201904|202252|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500027,75,201067,Camille Smith,1611661323,Connecticut Sun,1,0,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-7.0,19.0,1,1,20150616,SEA,CON,2015,102150002775,5520,validated,202662,1,matched,playbyplayv2,1611661328,201067|202662|203015|203826|204322,complete,playbyplay_inferred,201895|201904|202252|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500027,163,201067,Camille Smith,1611661323,Connecticut Sun,2,3,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,18.0,14.0,1,1,20150616,SEA,CON,2015,1021500027163,10120,validated,202653,1,matched,playbyplayv2,1611661328,201067|202653|202662|203410|203826,complete,playbyplay_inferred,201518|201904|202249|204319|204321,complete,playbyplay_inferred
Shot Chart Detail,1021500027,180,201067,Camille Smith,1611661323,Connecticut Sun,2,1,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22.0,176.0,146.0,1,0,20150616,SEA,CON,2015,1021500027180,11180,validated,,0,matched,playbyplayv2,1611661328,201067|202653|202662|203410|203826,complete,playbyplay_inferred,201518|201904|202252|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500027,255,201067,Camille Smith,1611661323,Connecticut Sun,3,5,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-19.0,15.0,1,1,20150616,SEA,CON,2015,1021500027255,14890,validated,,0,matched,playbyplayv2,1611661328,201067|202653|202662|203410|203826,complete,playbyplay_inferred,100720|201895|202252|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500027,397,201067,Camille Smith,1611661323,Connecticut Sun,4,4,38,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,10.0,15.0,1,0,20150616,SEA,CON,2015,1021500027397,21220,validated,,0,matched,playbyplayv2,1611661328,201067|202653|203015|203410|203833,complete,playbyplay_inferred,201895|201904|202626|204317|204319,complete,playbyplay_inferred
Shot Chart Detail,1021500033,30,201067,Camille Smith,1611661323,Connecticut Sun,1,6,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23.0,0.0,238.0,1,0,20150619,PHO,CON,2015,102150003330,2310,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|200691|201507|201886,complete,playbyplay_inferred
Shot Chart Detail,1021500033,48,201067,Camille Smith,1611661323,Connecticut Sun,1,4,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14.0,-141.0,-25.0,1,0,20150619,PHO,CON,2015,102150003348,3590,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200676|201507|201886|204297|204336,complete,playbyplay_inferred
Shot Chart Detail,1021500033,148,201067,Camille Smith,1611661323,Connecticut Sun,2,4,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-207.0,149.0,1,0,20150619,PHO,CON,2015,1021500033148,9180,validated,,0,matched,playbyplayv2,1611661317,201067|203015|203402|203410|203833,complete,playbyplay_inferred,200673|200676|201507|201886|204297,complete,playbyplay_inferred
Shot Chart Detail,1021500033,204,201067,Camille Smith,1611661323,Connecticut Sun,3,9,15,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,-10.0,63.0,1,0,20150619,PHO,CON,2015,1021500033204,12450,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|200691|201507|201886,complete,playbyplay_inferred
Shot Chart Detail,1021500033,217,201067,Camille Smith,1611661323,Connecticut Sun,3,7,55,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-30.0,4.0,1,0,20150619,PHO,CON,2015,1021500033217,13250,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|200691|201507|201886,complete,playbyplay_inferred
Shot Chart Detail,1021500033,219,201067,Camille Smith,1611661323,Connecticut Sun,3,7,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,4.0,22.0,1,1,20150619,PHO,CON,2015,1021500033219,13270,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|200691|201507|201886,complete,playbyplay_inferred
Shot Chart Detail,1021500033,236,201067,Camille Smith,1611661323,Connecticut Sun,3,6,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14.0,-146.0,14.0,1,0,20150619,PHO,CON,2015,1021500033236,14200,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|200691|201507|201886,complete,playbyplay_inferred
Shot Chart Detail,1021500033,263,201067,Camille Smith,1611661323,Connecticut Sun,3,4,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,13.0,-2.0,1,1,20150619,PHO,CON,2015,1021500033263,15600,validated,202662,1,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|201507|201886|204297,complete,playbyplay_inferred
Shot Chart Detail,1021500033,390,201067,Camille Smith,1611661323,Connecticut Sun,4,4,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12.0,54.0,108.0,1,0,20150619,PHO,CON,2015,1021500033390,21380,validated,,0,matched,playbyplayv2,1611661317,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200673|200676|201507|201886|204297,complete,playbyplay_inferred
