GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021500001,82,203826,Alyssa Thomas,1611661323,Connecticut Sun,1,1,0,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,36.0,0.0,1,1,20150605,CON,WAS,2015,102150000182,5400,validated,204322,1,matched,playbyplayv2,1611661322,201067|203410|203826|203833|204322,complete,playbyplay_inferred,201048|201056|203401|203828|203866,complete,playbyplay_inferred
Shot Chart Detail,1021500001,172,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,4,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,28.0,-2.0,1,0,20150605,CON,WAS,2015,1021500001172,9590,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203866|204333,complete,playbyplay_inferred
Shot Chart Detail,1021500001,181,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,2,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-15.0,7.0,1,0,20150605,CON,WAS,2015,1021500001181,10390,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203866|204333,complete,playbyplay_inferred
Shot Chart Detail,1021500001,262,203826,Alyssa Thomas,1611661323,Connecticut Sun,3,4,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-10.0,-6.0,1,1,20150605,CON,WAS,2015,1021500001262,15150,validated,203410,1,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,201056|203401|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,319,203826,Alyssa Thomas,1611661323,Connecticut Sun,3,0,37,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,32.0,-3.0,1,0,20150605,CON,WAS,2015,1021500001319,17630,validated,,0,matched,playbyplayv2,1611661322,202653|203015|203826|203833|204322,complete,playbyplay_inferred,100874|203401|203828|204326|204333,complete,playbyplay_inferred
Shot Chart Detail,1021500001,375,203826,Alyssa Thomas,1611661323,Connecticut Sun,4,6,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,0.0,-14.0,1,1,20150605,CON,WAS,2015,1021500001375,20350,validated,,0,matched,playbyplayv2,1611661322,201067|203410|203826|203833|204322,complete,playbyplay_inferred,100874|203416|203437|203828|204333,complete,playbyplay_inferred
Shot Chart Detail,1021500001,444,203826,Alyssa Thomas,1611661323,Connecticut Sun,4,1,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,6.0,-21.0,1,1,20150605,CON,WAS,2015,1021500001444,23360,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201056|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500001,461,203826,Alyssa Thomas,1611661323,Connecticut Sun,4,0,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,-48.0,9.0,1,0,20150605,CON,WAS,2015,1021500001461,23870,validated,,0,matched,playbyplayv2,1611661322,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100874|201048|203416|203437|203828,complete,playbyplay_inferred
Shot Chart Detail,1021500010,27,203826,Alyssa Thomas,1611661323,Connecticut Sun,1,7,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8.0,-71.0,44.0,1,0,20150607,ATL,CON,2015,102150001027,1440,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,213,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,2,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-12.0,-3.0,1,0,20150607,ATL,CON,2015,1021500010213,10320,validated,,0,matched,playbyplayv2,1611661330,202653|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|201881|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,294,203826,Alyssa Thomas,1611661323,Connecticut Sun,3,4,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-16.0,4.0,1,1,20150607,ATL,CON,2015,1021500010294,15100,validated,,0,matched,playbyplayv2,1611661330,201067|202662|203402|203410|203826,complete,playbyplay_inferred,100812|101023|101033|203026|203830,complete,playbyplay_inferred
Shot Chart Detail,1021500010,388,203826,Alyssa Thomas,1611661323,Connecticut Sun,4,7,6,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5.0,-48.0,-24.0,1,0,20150607,ATL,CON,2015,1021500010388,19740,validated,,0,matched,playbyplayv2,1611661330,202662|203402|203410|203826|204322,complete,playbyplay_inferred,100812|101023|201881|203026|204365,complete,playbyplay_inferred
Shot Chart Detail,1021500013,48,203826,Alyssa Thomas,1611661323,Connecticut Sun,1,5,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,13.0,15.0,1,0,20150611,CON,CHI,2015,102150001348,2870,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|201477|202664|203399|204323,complete,playbyplay_inferred
Shot Chart Detail,1021500013,123,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,9,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,18.0,14.0,1,1,20150611,CON,CHI,2015,1021500013123,6200,validated,,0,matched,playbyplayv2,1611661329,202653|203015|203826|203833|204322,complete,playbyplay_inferred,200665|201477|203067|203399|203857,complete,playbyplay_inferred
Shot Chart Detail,1021500013,179,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,5,7,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,31.0,7.0,1,1,20150611,CON,CHI,2015,1021500013179,8930,validated,203402,1,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|202664|203067|203399|204335,complete,playbyplay_inferred
Shot Chart Detail,1021500013,199,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,3,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,12.0,20.0,1,0,20150611,CON,CHI,2015,1021500013199,9980,validated,,0,matched,playbyplayv2,1611661329,201067|203015|203826|203833|204322,complete,playbyplay_inferred,200665|202638|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500013,223,203826,Alyssa Thomas,1611661323,Connecticut Sun,2,0,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,-11.0,4.0,1,0,20150611,CON,CHI,2015,1021500013223,11590,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203015|203402|203826,complete,playbyplay_inferred,200665|202638|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500013,249,203826,Alyssa Thomas,1611661323,Connecticut Sun,3,7,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,2.0,48.0,1,0,20150611,CON,CHI,2015,1021500013249,13490,validated,,0,matched,playbyplayv2,1611661329,201067|202662|203402|203410|203826,complete,playbyplay_inferred,200665|201477|202664|203067|203399,complete,playbyplay_inferred
Shot Chart Detail,1021500013,298,203826,Alyssa Thomas,1611661323,Connecticut Sun,3,3,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19.0,-52.0,187.0,1,0,20150611,CON,CHI,2015,1021500013298,16030,validated,,0,matched,playbyplayv2,1611661329,202662|203402|203410|203826|204322,complete,playbyplay_inferred,200665|203399|203857|203887|204323,complete,playbyplay_inferred
