GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022300001,444,1628242,Emma Cannon,1611661325,Indiana Fever,3,1,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,101,165,1,1,20230519,IND,CON,2023,1022300001444,16930,validated,1628909,1,matched,playbyplayv2,1611661323,1628242|1628909|1628929|1630471|1631031,complete,gamerotation,203026|203826|204296|1629567|1631135,complete,gamerotation
Shot Chart Detail,1022300001,465,1628242,Emma Cannon,1611661325,Indiana Fever,3,0,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,146,115,1,1,20230519,IND,CON,2023,1022300001465,17420,validated,1628909,1,matched,playbyplayv2,1611661323,1628242|1628909|1628929|1630471|1641687,complete,gamerotation,204296|1629567|1630112|1631135|1641665,complete,gamerotation
Shot Chart Detail,1022300008,91,1628242,Emma Cannon,1611661325,Indiana Fever,1,3,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-22,147,1,0,20230521,NYL,IND,2023,102230000891,4170,validated,,0,matched,playbyplayv2,1611661313,204365|1628242|1628929|1631086|1641648,complete,playbyplay_inferred,202259|203828|204335|1627668|1629477,complete,playbyplay_inferred
Shot Chart Detail,1022300008,104,1628242,Emma Cannon,1611661325,Indiana Fever,1,2,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-96,220,1,1,20230521,NYL,IND,2023,1022300008104,4450,validated,1631086,1,matched,playbyplayv2,1611661313,204365|1628242|1628929|1631031|1631086,complete,playbyplay_inferred,202259|203828|203866|1627668|1629477,complete,playbyplay_inferred
Shot Chart Detail,1022300008,117,1628242,Emma Cannon,1611661325,Indiana Fever,1,1,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-146,92,1,0,20230521,NYL,IND,2023,1022300008117,5010,validated,,0,matched,playbyplayv2,1611661313,204365|1628242|1628929|1631031|1631086,complete,playbyplay_inferred,202259|203828|203866|1627668|1629477,complete,playbyplay_inferred
Shot Chart Detail,1022300008,476,1628242,Emma Cannon,1611661325,Indiana Fever,4,9,10,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-123,108,1,0,20230521,NYL,IND,2023,1022300008476,18500,validated,,0,matched,playbyplayv2,1611661313,1628242|1628909|1628929|1631086|1641648,complete,playbyplay_inferred,202259|202664|203866|204335|1627673,complete,playbyplay_inferred
Shot Chart Detail,1022300022,454,1628242,Emma Cannon,1611661325,Indiana Fever,4,7,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,113,152,1,1,20230530,CON,IND,2023,1022300022454,19610,validated,1628929,1,matched,playbyplayv2,1611661323,1628242|1628909|1628929|1630471|1641648,complete,playbyplay_inferred,201886|203826|1628280|1629567|1630096,complete,playbyplay_inferred
Shot Chart Detail,1022300049,138,1628242,Emma Cannon,1611661325,Indiana Fever,1,0,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-190,61,1,1,20230611,IND,PHO,2023,1022300049138,5960,validated,1628909,1,matched,playbyplayv2,1611661317,1628242|1628909|1628927|1631031|1641658,complete,playbyplay_inferred,100940|203398|1629482|1630134|1641690,complete,playbyplay_inferred
Shot Chart Detail,1022300049,150,1628242,Emma Cannon,1611661325,Indiana Fever,2,9,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,4,1,1,20230611,IND,PHO,2023,1022300049150,6170,validated,1641648,1,matched,playbyplayv2,1611661317,1628242|1628909|1628927|1628929|1641648,complete,playbyplay_inferred,100940|203398|1629482|1630134|1630446,complete,playbyplay_inferred
Shot Chart Detail,1022300049,155,1628242,Emma Cannon,1611661325,Indiana Fever,2,9,10,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,24,1,0,20230611,IND,PHO,2023,1022300049155,6500,validated,,0,matched,playbyplayv2,1611661317,1628242|1628909|1628927|1628929|1641648,complete,playbyplay_inferred,100940|203398|1629482|1630134|1630446,complete,playbyplay_inferred
Shot Chart Detail,1022300049,165,1628242,Emma Cannon,1611661325,Indiana Fever,2,8,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-7,153,1,0,20230611,IND,PHO,2023,1022300049165,7100,validated,,0,matched,playbyplayv2,1611661317,1628242|1628909|1628927|1628929|1641648,complete,playbyplay_inferred,100940|203398|1629482|1630134|1630446,complete,playbyplay_inferred
Shot Chart Detail,1022300049,169,1628242,Emma Cannon,1611661325,Indiana Fever,2,7,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,3,1,0,20230611,IND,PHO,2023,1022300049169,7310,validated,,0,matched,playbyplayv2,1611661317,1628242|1628909|1628927|1628929|1641648,complete,playbyplay_inferred,100940|203398|1629482|1630134|1630446,complete,playbyplay_inferred
Shot Chart Detail,1022300064,447,1628242,Emma Cannon,1611661325,Indiana Fever,3,0,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-116,119,1,1,20230618,IND,ATL,2023,1022300064447,17610,validated,1628909,1,matched,playbyplayv2,1611661330,1628242|1628909|1628929|1630471|1631031,complete,playbyplay_inferred,202658|1628277|1628881|1629476|1631044,complete,playbyplay_inferred
Shot Chart Detail,1022300064,474,1628242,Emma Cannon,1611661325,Indiana Fever,4,8,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-141,258,1,1,20230618,IND,ATL,2023,1022300064474,19000,validated,1630471,1,matched,playbyplayv2,1611661330,204365|1628242|1628929|1630471|1641648,complete,playbyplay_inferred,202658|204323|1628269|1628277|1629476,complete,playbyplay_inferred
Shot Chart Detail,1022300064,497,1628242,Emma Cannon,1611661325,Indiana Fever,4,6,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-69,179,1,0,20230618,IND,ATL,2023,1022300064497,20160,validated,,0,matched,playbyplayv2,1611661330,204365|1628242|1628929|1630471|1641648,complete,playbyplay_inferred,204323|1628269|1628277|1631009|1641650,complete,playbyplay_inferred
Shot Chart Detail,1022300073,92,1628242,Emma Cannon,1611661325,Indiana Fever,1,2,38,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,12,1,1,20230622,SEA,IND,2023,102230007392,4420,validated,1631086,1,matched,playbyplayv2,1611661328,1628242|1628929|1630471|1631086|1641648,complete,playbyplay_inferred,204319|1628244|1629496|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300073,100,1628242,Emma Cannon,1611661325,Indiana Fever,1,2,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-139,113,1,0,20230622,SEA,IND,2023,1022300073100,4720,validated,,0,matched,playbyplayv2,1611661328,1628242|1628929|1630471|1631031|1631086,complete,playbyplay_inferred,204319|1628244|1629496|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300073,104,1628242,Emma Cannon,1611661325,Indiana Fever,1,1,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,18,1,1,20230622,SEA,IND,2023,1022300073104,4910,validated,1628929,1,matched,playbyplayv2,1611661328,1628242|1628929|1630471|1631031|1631086,complete,playbyplay_inferred,204319|1628244|1629496|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300073,109,1628242,Emma Cannon,1611661325,Indiana Fever,1,1,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,54,244,1,0,20230622,SEA,IND,2023,1022300073109,5250,validated,,0,matched,playbyplayv2,1611661328,1628242|1628929|1630471|1631031|1631086,complete,playbyplay_inferred,204319|1628244|1629496|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300073,116,1628242,Emma Cannon,1611661325,Indiana Fever,1,0,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,2,1,0,20230622,SEA,IND,2023,1022300073116,5450,validated,,0,matched,playbyplayv2,1611661328,1628242|1628929|1630471|1631031|1631086,complete,playbyplay_inferred,204319|1628244|1629496|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300073,372,1628242,Emma Cannon,1611661325,Indiana Fever,3,1,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,25,1,0,20230622,SEA,IND,2023,1022300073372,16810,validated,,0,matched,playbyplayv2,1611661328,1628242|1628909|1628929|1631086|1641648,complete,playbyplay_inferred,204319|1628244|1629496|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300073,434,1628242,Emma Cannon,1611661325,Indiana Fever,4,8,25,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,49,64,1,1,20230622,SEA,IND,2023,1022300073434,18950,validated,,0,matched,playbyplayv2,1611661328,1628242|1628909|1628929|1630471|1641687,complete,playbyplay_inferred,204319|1628244|1628915|1629496|1630115,complete,playbyplay_inferred
Shot Chart Detail,1022300073,446,1628242,Emma Cannon,1611661325,Indiana Fever,4,7,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,11,1,1,20230622,SEA,IND,2023,1022300073446,19400,validated,1628929,1,matched,playbyplayv2,1611661328,1628242|1628909|1628929|1630471|1641648,complete,playbyplay_inferred,204319|1628244|1628915|1628920|1629496,complete,playbyplay_inferred
