GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022300006,154,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-162,33,1,0,20230520,DAL,ATL,2023,1022300006154,5440,validated,,0,matched,playbyplayv2,1611661321,202658|204323|1628277|1631044|1641650,complete,playbyplay_inferred,1629479|1629481|1630149|1630386|1631007,complete,playbyplay_inferred
Shot Chart Detail,1022300006,305,1631044,Naz Hillmon,1611661330,Atlanta Dream,2,1,14,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20230520,DAL,ATL,2023,1022300006305,11260,validated,,0,matched,playbyplayv2,1611661321,202658|1629476|1631009|1631032|1631044,complete,playbyplay_inferred,1629479|1629481|1630101|1631029|1641653,complete,playbyplay_inferred
Shot Chart Detail,1022300006,421,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,4,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,20,1,1,20230520,DAL,ATL,2023,1022300006421,15300,validated,1629476,1,matched,playbyplayv2,1611661321,1628277|1629476|1631009|1631044|1641650,complete,playbyplay_inferred,203827|1629481|1630149|1631007|1631029,complete,playbyplay_inferred
Shot Chart Detail,1022300011,90,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,3,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,15,1,0,20230523,MIN,ATL,2023,102230001190,3670,validated,,0,matched,playbyplayv2,1611661324,1628277|1628881|1630462|1631009|1631044,complete,playbyplay_inferred,203825|1627672|1627676|1629491|1631263,complete,playbyplay_inferred
Shot Chart Detail,1022300011,160,1631044,Naz Hillmon,1611661330,Atlanta Dream,1,0,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-138,200,1,0,20230523,MIN,ATL,2023,1022300011160,5840,validated,,0,matched,playbyplayv2,1611661324,204323|1629476|1630462|1631009|1631044,complete,playbyplay_inferred,1627672|1627676|1628263|1629524|1641657,complete,playbyplay_inferred
Shot Chart Detail,1022300011,366,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,6,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20230523,MIN,ATL,2023,1022300011366,14310,validated,1641650,1,matched,playbyplayv2,1611661324,204323|1628277|1631009|1631044|1641650,complete,playbyplay_inferred,203825|1628263|1629483|1629491|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022300011,373,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,5,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,12,1,0,20230523,MIN,ATL,2023,1022300011373,14690,validated,,0,matched,playbyplayv2,1611661324,204323|1628277|1631009|1631044|1641650,complete,playbyplay_inferred,203825|1628263|1629483|1629491|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022300011,389,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,4,36,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,50,1,1,20230523,MIN,ATL,2023,1022300011389,15240,validated,1628881,1,matched,playbyplayv2,1611661324,1628277|1628881|1629476|1631044|1641650,complete,playbyplay_inferred,203825|1627676|1629483|1629491|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022300011,408,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,3,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,32,1,1,20230523,MIN,ATL,2023,1022300011408,15940,validated,1641650,1,matched,playbyplayv2,1611661324,1628277|1628881|1629476|1631044|1641650,complete,playbyplay_inferred,1627672|1627676|1629483|1629491|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022300011,414,1631044,Naz Hillmon,1611661330,Atlanta Dream,3,2,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,1,20230523,MIN,ATL,2023,1022300011414,16370,validated,,0,matched,playbyplayv2,1611661324,1628277|1628881|1629476|1631044|1641650,complete,playbyplay_inferred,1627672|1627676|1629491|1629524|1641649,complete,playbyplay_inferred
Shot Chart Detail,1022300011,461,1631044,Naz Hillmon,1611661330,Atlanta Dream,4,9,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20230523,MIN,ATL,2023,1022300011461,18140,validated,1630462,1,matched,playbyplayv2,1611661324,1628881|1629476|1630462|1631009|1631044,complete,playbyplay_inferred,203825|1627676|1628263|1629483|1641657,complete,playbyplay_inferred
