GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022300005,166,202252,Alysha Clark,1611661319,Las Vegas Aces,2,7,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,17,1,1,20230520,SEA,LVA,2023,1022300005166,7420,validated,,0,matched,playbyplayv2,1611661328,201496|202252|203833|204329|1628276,complete,playbyplay_inferred,203389|204319|1628920|1629496|1630441,complete,playbyplay_inferred
Shot Chart Detail,1022300005,214,202252,Alysha Clark,1611661319,Las Vegas Aces,2,3,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,18,1,1,20230520,SEA,LVA,2023,1022300005214,10020,validated,1629498,1,matched,playbyplayv2,1611661328,201496|202252|203833|1628932|1629498,complete,playbyplay_inferred,203389|204319|1628920|1630097|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300005,388,202252,Alysha Clark,1611661319,Las Vegas Aces,3,2,13,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,3,1,1,20230520,SEA,LVA,2023,1022300005388,16670,validated,1629498,1,matched,playbyplayv2,1611661328,202252|203833|204329|1628932|1629498,complete,playbyplay_inferred,1629496|1630441|1631141|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300005,406,202252,Alysha Clark,1611661319,Las Vegas Aces,3,0,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,154,181,1,1,20230520,SEA,LVA,2023,1022300005406,17650,validated,203833,1,matched,playbyplayv2,1611661328,202252|203833|204329|1628932|1629498,complete,playbyplay_inferred,1629496|1630441|1631141|1641602|1641651,complete,playbyplay_inferred
Shot Chart Detail,1022300005,490,202252,Alysha Clark,1611661319,Las Vegas Aces,4,5,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,169,175,1,0,20230520,SEA,LVA,2023,1022300005490,20640,validated,,0,matched,playbyplayv2,1611661328,201496|202252|203833|204329|1628276,complete,playbyplay_inferred,204319|1628920|1629496|1630097|1641602,complete,playbyplay_inferred
Shot Chart Detail,1022300012,180,202252,Alysha Clark,1611661319,Las Vegas Aces,2,6,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-30,1,1,20230525,LAS,LVA,2023,1022300012180,8020,validated,201496,1,matched,playbyplayv2,1611661320,201496|202252|203833|1628276|1628932,complete,playbyplay_inferred,203823|204324|1628882|1628886|1641660,complete,playbyplay_inferred
Shot Chart Detail,1022300012,453,202252,Alysha Clark,1611661319,Las Vegas Aces,4,7,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,18,1,1,20230525,LAS,LVA,2023,1022300012453,19210,validated,1628276,1,matched,playbyplayv2,1611661320,201496|202252|203833|204329|1628276,complete,playbyplay_inferred,203406|203823|1628317|1630115|1641660,complete,playbyplay_inferred
Shot Chart Detail,1022300012,461,202252,Alysha Clark,1611661319,Las Vegas Aces,4,6,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-228,31,1,0,20230525,LAS,LVA,2023,1022300012461,19900,validated,,0,matched,playbyplayv2,1611661320,201496|202252|203833|204329|1628276,complete,playbyplay_inferred,203406|203823|1628317|1630115|1641660,complete,playbyplay_inferred
Shot Chart Detail,1022300012,510,202252,Alysha Clark,1611661319,Las Vegas Aces,4,3,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-229,12,1,0,20230525,LAS,LVA,2023,1022300012510,21940,validated,,0,matched,playbyplayv2,1611661320,202252|203833|1628276|1628932|1629498,complete,playbyplay_inferred,203406|203823|204324|1628882|1628886,complete,playbyplay_inferred
Shot Chart Detail,1022300017,80,202252,Alysha Clark,1611661319,Las Vegas Aces,1,3,30,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,23,1,0,20230527,LVA,LAS,2023,102230001780,3900,validated,,0,matched,playbyplayv2,1611661320,202252|204329|1628276|1628932|1629498,complete,playbyplay_inferred,203014|204324|1628882|1630996|1641660,complete,playbyplay_inferred
Shot Chart Detail,1022300017,105,202252,Alysha Clark,1611661319,Las Vegas Aces,1,2,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,229,42,1,0,20230527,LVA,LAS,2023,1022300017105,4710,validated,,0,matched,playbyplayv2,1611661320,202252|204329|1628276|1628932|1629498,complete,playbyplay_inferred,204324|1628882|1630115|1630996|1641660,complete,playbyplay_inferred
