GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1022300065,406,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,4,8,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,17,1,1,20230618,LAS,CON,2023,1022300065406,18900,validated,204324,1,matched,playbyplayv2,1611661323,202662|203823|204324|1628317|1631089,complete,playbyplay_inferred,201886|203826|1628280|1630096|1630112,complete,playbyplay_inferred
Shot Chart Detail,1022300068,103,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,1,1,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,42,244,1,0,20230620,LAS,MIN,2023,1022300068103,4860,validated,,0,matched,playbyplayv2,1611661324,203014|203823|1628317|1631089|1641660,complete,playbyplay_inferred,1627671|1627676|1628263|1629483|1631263,complete,playbyplay_inferred
Shot Chart Detail,1022300068,129,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,9,33,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,15,1,1,20230620,LAS,MIN,2023,1022300068129,6270,validated,,0,matched,playbyplayv2,1611661324,203823|204324|1628317|1631089|1641660,complete,playbyplay_inferred,1627671|1627676|1628263|1629483|1631263,complete,playbyplay_inferred
Shot Chart Detail,1022300068,163,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,6,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,151,184,1,0,20230620,LAS,MIN,2023,1022300068163,8150,validated,,0,matched,playbyplayv2,1611661324,202662|203014|203823|1630996|1631089,complete,playbyplay_inferred,203825|1627671|1627676|1629483|1631263,complete,playbyplay_inferred
Shot Chart Detail,1022300075,121,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,1,0,4,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,29,1,1,20230623,LAS,DAL,2023,1022300075121,5960,validated,,0,matched,playbyplayv2,1611661321,203014|203823|1628922|1631089|1641660,complete,playbyplay_inferred,1629480|1629481|1630386|1631007|1641652,complete,playbyplay_inferred
Shot Chart Detail,1022300075,178,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,7,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-17,50,1,1,20230623,LAS,DAL,2023,1022300075178,7420,validated,,0,matched,playbyplayv2,1611661321,203823|204324|1628886|1630996|1631089,complete,playbyplay_inferred,203827|1629479|1629481|1630101|1630149,complete,playbyplay_inferred
Shot Chart Detail,1022300075,188,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,7,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20230623,LAS,DAL,2023,1022300075188,7570,validated,,0,matched,playbyplayv2,1611661321,203823|204324|1628317|1628886|1631089,complete,playbyplay_inferred,203827|1629479|1629481|1630101|1630149,complete,playbyplay_inferred
Shot Chart Detail,1022300075,221,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,4,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-190,157,1,0,20230623,LAS,DAL,2023,1022300075221,9310,validated,,0,matched,playbyplayv2,1611661321,203823|204324|1628317|1628886|1631089,complete,playbyplay_inferred,203827|1629479|1629481|1630149|1631007,complete,playbyplay_inferred
Shot Chart Detail,1022300075,225,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,4,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-3,1,0,20230623,LAS,DAL,2023,1022300075225,9570,validated,,0,matched,playbyplayv2,1611661321,203823|204324|1628317|1628886|1631089,complete,playbyplay_inferred,203827|1629479|1629481|1630149|1631007,complete,playbyplay_inferred
Shot Chart Detail,1022300075,284,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,2,0,0,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,51,40,1,1,20230623,LAS,DAL,2023,1022300075284,12000,validated,,0,matched,playbyplayv2,1611661321,203014|1628317|1628886|1628922|1631089,complete,playbyplay_inferred,203827|1629479|1629481|1630101|1630149,complete,playbyplay_inferred
Shot Chart Detail,1022300075,360,1631089,Destanni Henderson,1611661320,Los Angeles Sparks,3,4,15,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,74,119,1,1,20230623,LAS,DAL,2023,1022300075360,15450,validated,203014,1,matched,playbyplayv2,1611661321,203014|204324|1628886|1628922|1631089,complete,playbyplay_inferred,203827|1629480|1629481|1630101|1630149,complete,playbyplay_inferred
