GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1022300001,169,1631086,Lexie Hull,1611661325,Indiana Fever,2,8,58,Missed Shot,Pullup Jump shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,52,-6,528,1,0,20230519,IND,CON,2023-24
Shot Chart Detail,1022300008,68,1631086,Lexie Hull,1611661325,Indiana Fever,1,4,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,6,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,81,1631086,Lexie Hull,1611661325,Indiana Fever,1,3,42,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,5,1,1,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,102,1631086,Lexie Hull,1611661325,Indiana Fever,1,2,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,27,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,123,1631086,Lexie Hull,1611661325,Indiana Fever,1,1,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,221,69,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,148,1631086,Lexie Hull,1611661325,Indiana Fever,1,0,0,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,11,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,230,1631086,Lexie Hull,1611661325,Indiana Fever,2,5,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-10,81,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,283,1631086,Lexie Hull,1611661325,Indiana Fever,2,1,43,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,4,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,455,1631086,Lexie Hull,1611661325,Indiana Fever,3,0,0,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-21,206,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,481,1631086,Lexie Hull,1611661325,Indiana Fever,4,8,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,152,196,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300008,515,1631086,Lexie Hull,1611661325,Indiana Fever,4,6,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,126,1,0,20230521,NYL,IND,2023-24
Shot Chart Detail,1022300018,56,1631086,Lexie Hull,1611661325,Indiana Fever,1,5,34,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-21,49,1,0,20230528,ATL,IND,2023-24
Shot Chart Detail,1022300018,98,1631086,Lexie Hull,1611661325,Indiana Fever,1,3,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23,182,151,1,0,20230528,ATL,IND,2023-24
Shot Chart Detail,1022300018,284,1631086,Lexie Hull,1611661325,Indiana Fever,2,1,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,223,78,1,0,20230528,ATL,IND,2023-24
Shot Chart Detail,1022300018,356,1631086,Lexie Hull,1611661325,Indiana Fever,3,6,34,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,38,1,0,20230528,ATL,IND,2023-24
Shot Chart Detail,1022300022,11,1631086,Lexie Hull,1611661325,Indiana Fever,1,9,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,13,1,1,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,86,1631086,Lexie Hull,1611661325,Indiana Fever,1,2,53,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,154,190,1,0,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,308,1631086,Lexie Hull,1611661325,Indiana Fever,3,8,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,19,1,1,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,329,1631086,Lexie Hull,1611661325,Indiana Fever,3,6,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-13,183,1,0,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,340,1631086,Lexie Hull,1611661325,Indiana Fever,3,5,49,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,45,1,0,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,342,1631086,Lexie Hull,1611661325,Indiana Fever,3,5,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,24,1,1,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,523,1631086,Lexie Hull,1611661325,Indiana Fever,4,2,19,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,43,1,0,20230530,CON,IND,2023-24
Shot Chart Detail,1022300022,562,1631086,Lexie Hull,1611661325,Indiana Fever,4,0,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-8,1,0,20230530,CON,IND,2023-24
Shot Chart Detail,1022300034,14,1631086,Lexie Hull,1611661325,Indiana Fever,1,8,54,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),24+ ft.,23,-224,69,1,0,20230604,IND,LVA,2023-24
Shot Chart Detail,1022300034,287,1631086,Lexie Hull,1611661325,Indiana Fever,3,9,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,17,1,0,20230604,IND,LVA,2023-24
Shot Chart Detail,1022300034,323,1631086,Lexie Hull,1611661325,Indiana Fever,3,6,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-117,56,1,1,20230604,IND,LVA,2023-24
Shot Chart Detail,1022300036,17,1631086,Lexie Hull,1611661325,Indiana Fever,1,8,39,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20230606,CHI,IND,2023-24
Shot Chart Detail,1022300036,22,1631086,Lexie Hull,1611661325,Indiana Fever,1,8,21,Made Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-14,1,1,20230606,CHI,IND,2023-24
Shot Chart Detail,1022300036,168,1631086,Lexie Hull,1611661325,Indiana Fever,2,7,35,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-39,56,1,1,20230606,CHI,IND,2023-24
Shot Chart Detail,1022300036,183,1631086,Lexie Hull,1611661325,Indiana Fever,2,6,46,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-181,196,1,1,20230606,CHI,IND,2023-24
Shot Chart Detail,1022300036,201,1631086,Lexie Hull,1611661325,Indiana Fever,2,5,44,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,238,20,1,1,20230606,CHI,IND,2023-24
Shot Chart Detail,1022300036,212,1631086,Lexie Hull,1611661325,Indiana Fever,2,4,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-216,136,1,0,20230606,CHI,IND,2023-24
Shot Chart Detail,1022300043,12,1631086,Lexie Hull,1611661325,Indiana Fever,1,8,56,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,17,1,0,20230609,MIN,IND,2023-24
Shot Chart Detail,1022300043,17,1631086,Lexie Hull,1611661325,Indiana Fever,1,8,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23,11,237,1,0,20230609,MIN,IND,2023-24
