GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1020800115,282,201475,Kristen O'Neill,1611661328,Seattle Storm,3,1,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,7,1,0,20080703,SEA,NYL,2008-09
Shot Chart Detail,1020800160,374,201475,Kristen O'Neill,1611661328,Seattle Storm,4,7,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,3,1,0,20080720,WAS,SEA,2008-09
Shot Chart Detail,1020800160,439,201475,Kristen O'Neill,1611661328,Seattle Storm,4,0,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,23,-191,141,1,0,20080720,WAS,SEA,2008-09
Shot Chart Detail,1020800223,195,201475,Kristen O'Neill,1611661328,Seattle Storm,2,1,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-148,156,1,0,20080909,SAC,SEA,2008-09
