GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1020800008,56,201077,Navonda Moore,1611661324,Minnesota Lynx,1,3,49,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),16-24 ft.,21,212,8,1,1,20080518,MIN,DET,2008,102080000856,3710,validated,200671,1,matched,playbyplayv2,1611661321,100932|100933|200671|201077|201499,complete,playbyplay_inferred,100404|100416|100639|100843|100888,complete,playbyplay_inferred
Shot Chart Detail,1020800008,189,201077,Navonda Moore,1611661324,Minnesota Lynx,2,2,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,21,212,28,1,0,20080518,MIN,DET,2008,1020800008189,10480,validated,,0,matched,playbyplayv2,1611661321,100552|200671|201049|201077|201500,complete,playbyplay_inferred,100404|100639|100843|100888|101025,complete,playbyplay_inferred
Shot Chart Detail,1020800008,261,201077,Navonda Moore,1611661324,Minnesota Lynx,3,4,52,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-97,43,1,0,20080518,MIN,DET,2008,1020800008261,15080,validated,,0,matched,playbyplayv2,1611661321,200671|201077|201499|201500|201501,complete,playbyplay_inferred,100404|100414|100843|100888|201487,complete,playbyplay_inferred
Shot Chart Detail,1020800023,103,201077,Navonda Moore,1611661324,Minnesota Lynx,2,9,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20080527,HOU,MIN,2008,1020800023103,6190,validated,,0,matched,playbyplayv2,1611661316,100552|100932|200671|201077|201499,complete,playbyplay_inferred,100008|100076|100410|101023|201492,complete,playbyplay_inferred
Shot Chart Detail,1020800023,112,201077,Navonda Moore,1611661324,Minnesota Lynx,2,8,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,23,1,0,20080527,HOU,MIN,2008,1020800023112,6740,validated,,0,matched,playbyplayv2,1611661316,100552|100932|200671|201077|201499,complete,playbyplay_inferred,100008|100076|100410|101023|201492,complete,playbyplay_inferred
Shot Chart Detail,1020800031,134,201077,Navonda Moore,1611661324,Minnesota Lynx,2,8,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-64,-19,1,0,20080531,MIN,PHO,2008,1020800031134,6890,validated,,0,matched,playbyplayv2,1611661317,100933|200671|201077|201499|201501,complete,playbyplay_inferred,100236|100494|100940|200665|201544,complete,playbyplay_inferred
Shot Chart Detail,1020800031,341,201077,Navonda Moore,1611661324,Minnesota Lynx,3,0,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-100,58,1,0,20080531,MIN,PHO,2008,1020800031341,17520,validated,,0,matched,playbyplayv2,1611661317,100552|200671|201077|201499|201501,complete,playbyplay_inferred,100494|100920|100973|200665|201544,complete,playbyplay_inferred
Shot Chart Detail,1020800040,375,201077,Navonda Moore,1611661324,Minnesota Lynx,4,5,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,56,112,1,1,20080606,CON,MIN,2008,1020800040375,20710,validated,200671,1,matched,playbyplayv2,1611661323,100552|200671|201077|201499|201500,complete,playbyplay_inferred,100347|100723|100915|201483|201485,complete,playbyplay_inferred
Shot Chart Detail,1020800052,86,201077,Navonda Moore,1611661324,Minnesota Lynx,2,9,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-141,35,1,0,20080610,MIN,CON,2008,102080005286,6060,validated,,0,matched,playbyplayv2,1611661323,100493|100552|201077|201499|201501,complete,playbyplay_inferred,100725|101053|200681|200704|201058,complete,playbyplay_inferred
Shot Chart Detail,1020800052,157,201077,Navonda Moore,1611661324,Minnesota Lynx,2,3,3,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,18,77,1,1,20080610,MIN,CON,2008,1020800052157,10170,validated,100552,1,matched,playbyplayv2,1611661323,100552|200671|201077|201499|201500,complete,playbyplay_inferred,100347|100723|100915|201483|201485,complete,playbyplay_inferred
Shot Chart Detail,1020800052,164,201077,Navonda Moore,1611661324,Minnesota Lynx,2,2,25,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,69,61,1,0,20080610,MIN,CON,2008,1020800052164,10550,validated,,0,matched,playbyplayv2,1611661323,200671|201077|201499|201500|201501,complete,playbyplay_inferred,100347|100723|100915|201483|201485,complete,playbyplay_inferred
