GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1020800227,209,100239,Margo Dydek,1611661320,Los Angeles Sparks,2,0,55,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,36,1,0,20080911,LAS,ATL,2008,1020800227209,11450,validated,,0,matched,playbyplayv2,1611661330,100003|100239|100396|201086|201497,complete,playbyplay_inferred,101026|101027|201054|201056|201477,complete,playbyplay_inferred
Shot Chart Detail,1020800238,151,100239,Margo Dydek,1611661320,Los Angeles Sparks,2,3,40,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-41,89,1,1,20080914,LAS,SEA,2008,1020800238151,9800,validated,201086,1,matched,playbyplayv2,1611661328,100239|100685|101024|101042|201086,complete,playbyplay_inferred,100942|101030|201052|201067|201517,complete,playbyplay_inferred
Shot Chart Detail,1020800238,339,100239,Margo Dydek,1611661320,Los Angeles Sparks,4,4,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20080914,LAS,SEA,2008,1020800238339,21380,validated,,0,matched,playbyplayv2,1611661328,100199|100239|100685|101024|201086,complete,playbyplay_inferred,100942|101030|101032|201052|201067,complete,playbyplay_inferred
Shot Chart Detail,1020800238,366,100239,Margo Dydek,1611661320,Los Angeles Sparks,4,1,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20080914,LAS,SEA,2008,1020800238366,22910,validated,,0,matched,playbyplayv2,1611661328,100199|100239|100685|101024|201086,complete,playbyplay_inferred,100942|101030|101032|201052|201067,complete,playbyplay_inferred
Shot Chart Detail,1020800238,369,100239,Margo Dydek,1611661320,Los Angeles Sparks,4,1,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20080914,LAS,SEA,2008,1020800238369,23200,validated,100199,1,matched,playbyplayv2,1611661328,100199|100239|100685|101024|201086,complete,playbyplay_inferred,100942|101030|101032|201052|201067,complete,playbyplay_inferred
