GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020700002,330,201051,Bernice Mosby,1611661322,Washington Mystics,3,0,6,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20070519,WAS,CON,2007,1020700002330,17940,validated,,0,matched,playbyplayv2,1611661323,100345|100433|100690|200689|201051,complete,playbyplay_inferred,100552|100666|100812|101053|101056,complete,playbyplay_inferred,,
Shot Chart Detail,1020700008,282,201051,Bernice Mosby,1611661322,Washington Mystics,3,1,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,2,1,0,20070522,WAS,SAC,2007,1020700008282,16910,validated,,0,matched,playbyplayv2,1611661318,100556|100724|100949|101084|201051,complete,playbyplay_inferred,100526|100874|100944|101027|200683,complete,playbyplay_inferred,,
Shot Chart Detail,1020700013,145,201051,Bernice Mosby,1611661322,Washington Mystics,2,3,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,31,1,0,20070524,NYL,WAS,2007,1020700013145,9710,validated,,0,matched,playbyplayv2,1611661313,100396|100690|100724|100949|201051,complete,playbyplay_inferred,100494|100835|101028|101047|101049,complete,playbyplay_inferred,,
Shot Chart Detail,1020700013,186,201051,Bernice Mosby,1611661322,Washington Mystics,2,0,21,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,56,137,1,1,20070524,NYL,WAS,2007,1020700013186,11790,validated,,0,matched,playbyplayv2,1611661313,100690|100724|101084|201051|201107,complete,playbyplay_inferred,100835|100937|101028|101049|201050,complete,playbyplay_inferred,,
Shot Chart Detail,1020700022,78,201051,Bernice Mosby,1611661322,Washington Mystics,1,1,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,11,117,1,0,20070530,DET,WAS,2007,102070002278,5090,validated,,0,matched,playbyplayv2,1611661321,100556|100690|100949|200673|201051,complete,playbyplay_inferred,100404|100410|100639|100888|101026,complete,playbyplay_inferred,,
Shot Chart Detail,1020700022,87,201051,Bernice Mosby,1611661322,Washington Mystics,1,0,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-110,128,1,0,20070530,DET,WAS,2007,102070002287,5730,validated,,0,matched,playbyplayv2,1611661321,100556|100690|100949|200673|201051,complete,playbyplay_inferred,100404|100410|100639|100888|101026,complete,playbyplay_inferred,,
Shot Chart Detail,1020700022,398,201051,Bernice Mosby,1611661322,Washington Mystics,4,5,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20070530,DET,WAS,2007,1020700022398,20770,validated,,0,matched,playbyplayv2,1611661321,100396|100690|100949|200673|201051,complete,playbyplay_inferred,100404|100639|100721|100843|101025,complete,playbyplay_inferred,,
Shot Chart Detail,1020700025,113,201051,Bernice Mosby,1611661322,Washington Mystics,2,9,28,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,-11,1,0,20070601,WAS,CHI,2007,1020700025113,6320,validated,,0,matched,playbyplayv2,1611661329,100396|100949|200673|200689|201051,complete,playbyplay_inferred,100433|100952|200688|201048|201070,complete,playbyplay_inferred,,
Shot Chart Detail,1020700025,195,201051,Bernice Mosby,1611661322,Washington Mystics,2,2,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,8,1,0,20070601,WAS,CHI,2007,1020700025195,10530,validated,,0,matched,playbyplayv2,1611661329,100949|101084|200678|201051|201107,complete,playbyplay_inferred,100759|200676|201048|201070|201095,complete,playbyplay_inferred,,
Shot Chart Detail,1020700033,126,201051,Bernice Mosby,1611661322,Washington Mystics,2,8,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-46,23,1,0,20070603,IND,WAS,2007,1020700033126,7110,validated,,0,matched,playbyplayv2,1611661325,100470|100690|100949|200673|201051,complete,playbyplay_inferred,100284|100347|100416|100928|101020,complete,playbyplay_inferred,,
Shot Chart Detail,1020700033,128,201051,Bernice Mosby,1611661322,Washington Mystics,2,8,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,-29,1,0,20070603,IND,WAS,2007,1020700033128,7150,validated,,0,matched,playbyplayv2,1611661325,100470|100690|100949|200673|201051,complete,playbyplay_inferred,100284|100347|100416|100928|101020,complete,playbyplay_inferred,,
