GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020700011,486,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,0,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,49,1,0,20070523,SEA,PHO,2007,1020700011486,23810,validated,,0,matched,playbyplayv2,1611661317,100942|101030|101032|200680|201052,complete,playbyplay_inferred,100648|100696|100718|100975|101080,complete,playbyplay_inferred,,
Shot Chart Detail,1020700030,196,200680,Tye'sha Fluker,1611661328,Seattle Storm,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,-28,214,1,0,20070602,SEA,SAN,2007,1020700030196,12000,validated,,0,matched,playbyplayv2,1611661319,100046|100484|100720|100796|200680,complete,playbyplay_inferred,100103|100342|100659|100685|200674,complete,playbyplay_inferred,,
Shot Chart Detail,1020700038,187,200680,Tye'sha Fluker,1611661328,Seattle Storm,2,1,14,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-56,61,1,0,20070607,SAC,SEA,2007,1020700038187,11260,validated,,0,matched,playbyplayv2,1611661318,100046|100720|100796|200680|201052,complete,playbyplay_inferred,100874|100919|100944|101040|200679,complete,playbyplay_inferred,,
Shot Chart Detail,1020700046,354,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,4,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-18,71,1,0,20070609,SEA,MIN,2007,1020700046354,21070,validated,,0,matched,playbyplayv2,1611661324,100942|101030|101032|200680|201052,complete,playbyplay_inferred,101029|200699|201049|201062|201077,complete,playbyplay_inferred,,
Shot Chart Detail,1020700050,394,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,0,59,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,36,54,1,0,20070612,CHI,SEA,2007,1020700050394,23410,validated,,0,matched,playbyplayv2,1611661329,100796|100942|101030|101032|200680,complete,playbyplay_inferred,100667|200688|201048|201070|201095,complete,playbyplay_inferred,,
Shot Chart Detail,1020700053,368,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,1,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,35,1,0,20070613,IND,SEA,2007,1020700053368,23110,validated,,0,matched,playbyplayv2,1611661325,100942|101030|101032|200680|201052,complete,playbyplay_inferred,100416|100834|100928|200685|201054,complete,playbyplay_inferred,,
Shot Chart Detail,1020700053,380,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,0,43,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,30,1,0,20070613,IND,SEA,2007,1020700053380,23570,validated,,0,matched,playbyplayv2,1611661325,100942|101030|101032|200680|201052,complete,playbyplay_inferred,100416|100834|100928|200685|201054,complete,playbyplay_inferred,,
Shot Chart Detail,1020700087,397,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,3,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,-19,1,0,20070626,SEA,CHI,2007,1020700087397,21750,validated,,0,matched,playbyplayv2,1611661329,100942|101030|101032|200680|201052,complete,playbyplay_inferred,100433|100722|200676|201070|201095,complete,playbyplay_inferred,,
Shot Chart Detail,1020700087,425,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,1,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,10,1,0,20070626,SEA,CHI,2007,1020700087425,22900,validated,,0,matched,playbyplayv2,1611661329,100942|101030|101032|200680|201052,complete,playbyplay_inferred,100722|200688|201055|201070|201095,complete,playbyplay_inferred,,
Shot Chart Detail,1020700087,436,200680,Tye'sha Fluker,1611661328,Seattle Storm,4,0,46,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,35,1,0,20070626,SEA,CHI,2007,1020700087436,23540,validated,,0,matched,playbyplayv2,1611661329,100942|101030|101032|200680|201052,complete,playbyplay_inferred,100722|200688|201055|201070|201095,complete,playbyplay_inferred,,
Shot Chart Detail,1020700106,29,200680,Tye'sha Fluker,1611661320,Los Angeles Sparks,1,6,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,0,140,1,0,20070705,LAS,IND,2007,102070010629,1920,validated,,0,matched,playbyplayv2,1611661325,101042|200680|200682|201037|201086,complete,playbyplay_inferred,100284|100347|100493|100628|100646,complete,playbyplay_inferred,,
