GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020700025,95,201107,Gillian Goring,1611661322,Washington Mystics,1,0,54,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-82,46,1,1,20070601,WAS,CHI,2007,102070002595,5460,validated,200673,1,matched,playbyplayv2,1611661329,100396|100690|200673|200689|201107,complete,playbyplay_inferred,100433|100952|200688|201048|201070,complete,playbyplay_inferred,,
Shot Chart Detail,1020700025,326,201107,Gillian Goring,1611661322,Washington Mystics,3,0,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,22,212,74,1,0,20070601,WAS,CHI,2007,1020700025326,17650,validated,,0,matched,playbyplayv2,1611661329,100690|200673|200689|201051|201107,complete,playbyplay_inferred,100384|100433|100952|200676|201048,complete,playbyplay_inferred,,
Shot Chart Detail,1020700051,471,201107,Gillian Goring,1611661322,Washington Mystics,4,0,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20070612,NYL,WAS,2007,1020700051471,23960,validated,,0,matched,playbyplayv2,1611661313,100396|100949|200678|200689|201107,complete,playbyplay_inferred,100835|200682|201047|201050|201063,complete,playbyplay_inferred,,
Shot Chart Detail,1020700085,129,201107,Gillian Goring,1611661322,Washington Mystics,2,5,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20070626,CON,WAS,2007,1020700085129,8630,validated,201051,1,matched,playbyplayv2,1611661323,100949|200678|200689|201051|201107,complete,playbyplay_inferred,100552|100723|100812|100915|201057,complete,playbyplay_inferred,,
Shot Chart Detail,1020700085,150,201107,Gillian Goring,1611661322,Washington Mystics,2,4,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,0,20070626,CON,WAS,2007,1020700085150,9290,validated,,0,matched,playbyplayv2,1611661323,100690|200673|200689|201051|201107,complete,playbyplay_inferred,100239|100723|100915|100973|201057,complete,playbyplay_inferred,,
Shot Chart Detail,1020700085,185,201107,Gillian Goring,1611661322,Washington Mystics,2,0,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,13,1,1,20070626,CON,WAS,2007,1020700085185,11620,validated,201051,1,matched,playbyplayv2,1611661323,100949|101084|200673|201051|201107,complete,playbyplay_inferred,100239|100552|100666|100973|101053,complete,playbyplay_inferred,,
Shot Chart Detail,1020700085,357,201107,Gillian Goring,1611661322,Washington Mystics,4,4,31,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,3,35,1,0,20070626,CON,WAS,2007,1020700085357,21290,validated,,0,matched,playbyplayv2,1611661323,100396|101084|200678|200689|201107,complete,playbyplay_inferred,100552|100666|100812|101053|201140,complete,playbyplay_inferred,,
Shot Chart Detail,1020700085,393,201107,Gillian Goring,1611661322,Washington Mystics,4,0,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,-1,1,1,20070626,CON,WAS,2007,1020700085393,23650,validated,200689,1,matched,playbyplayv2,1611661323,101084|200678|200689|201051|201107,complete,playbyplay_inferred,100552|100812|101053|201057|201140,complete,playbyplay_inferred,,
Shot Chart Detail,1020700093,79,201107,Gillian Goring,1611661322,Washington Mystics,1,2,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20070629,WAS,DET,2007,102070009379,4790,validated,100724,1,matched,playbyplayv2,1611661321,100556|100724|100949|200673|201107,complete,playbyplay_inferred,100404|100639|100721|100888|101025,complete,playbyplay_inferred,,
Shot Chart Detail,1020700093,90,201107,Gillian Goring,1611661322,Washington Mystics,1,1,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-3,1,1,20070629,WAS,DET,2007,102070009390,5400,validated,,0,matched,playbyplayv2,1611661321,100724|100949|200673|201051|201107,complete,playbyplay_inferred,100414|100639|100721|100888|101025,complete,playbyplay_inferred,,
Shot Chart Detail,1020700093,97,201107,Gillian Goring,1611661322,Washington Mystics,1,0,35,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,-6,1,0,20070629,WAS,DET,2007,102070009397,5650,validated,,0,matched,playbyplayv2,1611661321,100949|200673|200689|201051|201107,complete,playbyplay_inferred,100414|100639|100721|100888|101025,complete,playbyplay_inferred,,
