GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE,RAW_HTM,RAW_VTM
Shot Chart Detail,1020700002,61,100812,Erika de Souza,1611661323,Connecticut Sun,1,3,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,-11,1,1,20070519,WAS,CON,2007,102070000261,3620,validated,100723,1,matched,playbyplayv2,1611661322,100415|100666|100723|100812|101053,complete,playbyplay_inferred,100345|100396|100433|100690|100724,complete,playbyplay_inferred,,
Shot Chart Detail,1020700002,101,100812,Erika de Souza,1611661323,Connecticut Sun,1,1,16,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,10,1,0,20070519,WAS,CON,2007,1020700002101,5240,validated,,0,matched,playbyplayv2,1611661322,100552|100812|101053|101056|201057,complete,playbyplay_inferred,100396|100556|101084|200678|200689,complete,playbyplay_inferred,,
Shot Chart Detail,1020700002,107,100812,Erika de Souza,1611661323,Connecticut Sun,1,0,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20070519,WAS,CON,2007,1020700002107,5690,validated,,0,matched,playbyplayv2,1611661322,100552|100812|101053|101056|201057,complete,playbyplay_inferred,100396|100556|101084|200678|200689,complete,playbyplay_inferred,,
Shot Chart Detail,1020700002,298,100812,Erika de Souza,1611661323,Connecticut Sun,3,3,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,10,146,1,0,20070519,WAS,CON,2007,1020700002298,16040,validated,,0,matched,playbyplayv2,1611661322,100666|100723|100812|100915|101056,complete,playbyplay_inferred,100396|100433|100690|100724|201051,complete,playbyplay_inferred,,
Shot Chart Detail,1020700012,57,100812,Erika de Souza,1611661323,Connecticut Sun,1,2,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,160,1,0,20070523,SAN,CON,2007,102070001257,4220,validated,,0,matched,playbyplayv2,1611661319,100552|100666|100812|100915|101056,complete,playbyplay_inferred,100342|100656|100659|100685|200674,complete,playbyplay_inferred,,
Shot Chart Detail,1020700012,94,100812,Erika de Souza,1611661323,Connecticut Sun,2,9,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,5,1,1,20070523,SAN,CON,2007,102070001294,6110,validated,101053,1,matched,playbyplayv2,1611661319,100552|100812|101053|101056|201057,complete,playbyplay_inferred,100103|100457|100659|200686|201067,complete,playbyplay_inferred,,
Shot Chart Detail,1020700012,130,100812,Erika de Souza,1611661323,Connecticut Sun,2,5,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,2,1,1,20070523,SAN,CON,2007,1020700012130,8920,validated,100666,1,matched,playbyplayv2,1611661319,100415|100666|100723|100812|100915,complete,playbyplay_inferred,100103|100457|100659|200686|201067,complete,playbyplay_inferred,,
Shot Chart Detail,1020700012,325,100812,Erika de Souza,1611661323,Connecticut Sun,4,6,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,0,1,1,20070523,SAN,CON,2007,1020700012325,19970,validated,100415,1,matched,playbyplayv2,1611661319,100415|100666|100723|100812|101053,complete,playbyplay_inferred,100342|100656|100659|200674|200686,complete,playbyplay_inferred,,
Shot Chart Detail,1020700012,327,100812,Erika de Souza,1611661323,Connecticut Sun,4,6,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-94,86,1,0,20070523,SAN,CON,2007,1020700012327,20380,validated,,0,matched,playbyplayv2,1611661319,100415|100666|100723|100812|101053,complete,playbyplay_inferred,100342|100656|100659|200674|200686,complete,playbyplay_inferred,,
Shot Chart Detail,1020700012,381,100812,Erika de Souza,1611661323,Connecticut Sun,4,0,17,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,13,1,1,20070523,SAN,CON,2007,1020700012381,23830,validated,100723,1,matched,playbyplayv2,1611661319,100415|100666|100723|100812|101053,complete,playbyplay_inferred,100103|100342|100656|100659|200674,complete,playbyplay_inferred,,
Shot Chart Detail,1020700018,56,100812,Erika de Souza,1611661323,Connecticut Sun,1,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,0,1,1,20070526,CON,LAS,2007,102070001856,3450,validated,,0,matched,playbyplayv2,1611661320,100666|100812|100915|100973|201057,complete,playbyplay_inferred,100012|100356|100412|100930|201037,complete,playbyplay_inferred,,
