GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1020000005,76,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,12,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,81,91,1,0,20000531,LAS,UTA,2000-01
Shot Chart Detail,1020000005,88,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,11,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-121,-1,1,0,20000531,LAS,UTA,2000-01
Shot Chart Detail,1020000005,144,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,5,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,12,98,1,1,20000531,LAS,UTA,2000-01
Shot Chart Detail,1020000005,384,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,4,14,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-31,72,1,0,20000531,LAS,UTA,2000-01
Shot Chart Detail,1020000005,430,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,0,28,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-31,55,1,0,20000531,LAS,UTA,2000-01
Shot Chart Detail,1020000005,439,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,0,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,119,216,1,0,20000531,LAS,UTA,2000-01
Shot Chart Detail,1020000010,167,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,2,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,22,-145,171,1,1,20000601,UTA,MIN,2000-01
Shot Chart Detail,1020000010,235,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,1,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000601,UTA,MIN,2000-01
Shot Chart Detail,1020000010,269,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,15,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,138,154,1,0,20000601,UTA,MIN,2000-01
Shot Chart Detail,1020000012,18,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,17,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-147,12,1,0,20000603,NYL,UTA,2000-01
Shot Chart Detail,1020000012,346,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,4,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,-44,214,1,0,20000603,NYL,UTA,2000-01
Shot Chart Detail,1020000026,12,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,18,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20000606,UTA,PHO,2000-01
Shot Chart Detail,1020000026,63,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,13,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20000606,UTA,PHO,2000-01
Shot Chart Detail,1020000026,150,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,5,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22,169,143,1,1,20000606,UTA,PHO,2000-01
Shot Chart Detail,1020000026,295,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,11,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,14,126,1,1,20000606,UTA,PHO,2000-01
Shot Chart Detail,1020000034,4,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,19,28,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,12,68,1,0,20000608,POR,UTA,2000-01
Shot Chart Detail,1020000034,35,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,16,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-117,179,1,0,20000608,POR,UTA,2000-01
Shot Chart Detail,1020000034,92,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,10,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-147,162,1,0,20000608,POR,UTA,2000-01
Shot Chart Detail,1020000034,242,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,1,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000608,POR,UTA,2000-01
Shot Chart Detail,1020000034,342,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,8,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,12,212,1,0,20000608,POR,UTA,2000-01
Shot Chart Detail,1020000034,359,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,7,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22,171,145,1,0,20000608,POR,UTA,2000-01
Shot Chart Detail,1020000042,43,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,15,5,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,8,109,1,1,20000610,UTA,HOU,2000-01
Shot Chart Detail,1020000042,58,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,12,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,59,171,1,0,20000610,UTA,HOU,2000-01
Shot Chart Detail,1020000042,139,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,4,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,20,-182,98,1,1,20000610,UTA,HOU,2000-01
Shot Chart Detail,1020000042,187,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,3,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,44,171,1,1,20000610,UTA,HOU,2000-01
Shot Chart Detail,1020000042,235,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,13,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,53,1,0,20000610,UTA,HOU,2000-01
Shot Chart Detail,1020000047,146,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,4,26,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-57,119,1,0,20000612,HOU,UTA,2000-01
Shot Chart Detail,1020000047,166,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,2,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,138,156,1,0,20000612,HOU,UTA,2000-01
Shot Chart Detail,1020000047,190,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,1,16,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,1,130,1,1,20000612,HOU,UTA,2000-01
Shot Chart Detail,1020000047,238,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,0,21,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,51,1,0,20000612,HOU,UTA,2000-01
Shot Chart Detail,1020000047,274,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,14,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,21,-182,109,1,0,20000612,HOU,UTA,2000-01
Shot Chart Detail,1020000050,2,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,19,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,20,-94,186,1,0,20000613,UTA,ORL,2000-01
Shot Chart Detail,1020000050,156,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,4,30,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,81,1,1,20000613,UTA,ORL,2000-01
Shot Chart Detail,1020000050,231,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,16,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,20,169,109,1,1,20000613,UTA,ORL,2000-01
Shot Chart Detail,1020000050,264,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,12,55,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,87,48,1,0,20000613,UTA,ORL,2000-01
Shot Chart Detail,1020000057,45,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,15,51,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-36,66,1,1,20000615,UTA,CHA,2000-01
Shot Chart Detail,1020000057,118,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,8,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,1,149,1,0,20000615,UTA,CHA,2000-01
Shot Chart Detail,1020000057,122,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,7,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,20,-72,188,1,0,20000615,UTA,CHA,2000-01
Shot Chart Detail,1020000057,240,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,1,18,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,8,48,1,0,20000615,UTA,CHA,2000-01
Shot Chart Detail,1020000057,274,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,13,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20000615,UTA,CHA,2000-01
Shot Chart Detail,1020000057,301,100364,Dalma Ivanyi,1611661319,Utah Starzz,2,10,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20000615,UTA,CHA,2000-01
Shot Chart Detail,1020000062,45,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,13,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,20,-66,194,1,0,20000617,UTA,WAS,2000-01
Shot Chart Detail,1020000062,193,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,1,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20000617,UTA,WAS,2000-01
Shot Chart Detail,1020000062,183,100364,Dalma Ivanyi,1611661319,Utah Starzz,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,45,-12,452,1,0,20000617,UTA,WAS,2000-01
