GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,7,0,0.0,2023-24
League Averages,Above the Break 3,Center(C),24+ ft.,1691,574,0.339,2023-24
League Averages,Above the Break 3,Center(C),16-24 ft.,174,49,0.282,2023-24
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,2831,992,0.35,2023-24
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,299,116,0.388,2023-24
League Averages,Above the Break 3,Left Side(L),16-24 ft.,268,81,0.302,2023-24
League Averages,Above the Break 3,Left Side(L),24+ ft.,427,151,0.354,2023-24
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,2658,891,0.335,2023-24
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,248,90,0.363,2023-24
League Averages,Above the Break 3,Right Side(R),16-24 ft.,224,83,0.371,2023-24
League Averages,Above the Break 3,Right Side(R),24+ ft.,438,164,0.374,2023-24
League Averages,Backcourt,Back Court(BC),Back Court Shot,69,0,0.0,2023-24
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,1900,774,0.407,2023-24
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4514,1808,0.401,2023-24
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,306,112,0.366,2023-24
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,278,107,0.385,2023-24
League Averages,Left Corner 3,Left Side(L),24+ ft.,754,277,0.367,2023-24
League Averages,Left Corner 3,Left Side(L),16-24 ft.,6,1,0.167,2023-24
League Averages,Mid-Range,Center(C),8-16 ft.,485,184,0.379,2023-24
League Averages,Mid-Range,Center(C),16-24 ft.,948,347,0.366,2023-24
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,749,257,0.343,2023-24
League Averages,Mid-Range,Left Side(L),16-24 ft.,378,133,0.352,2023-24
League Averages,Mid-Range,Left Side(L),8-16 ft.,1124,421,0.375,2023-24
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,802,293,0.365,2023-24
League Averages,Mid-Range,Right Side(R),8-16 ft.,1118,430,0.385,2023-24
League Averages,Mid-Range,Right Side(R),16-24 ft.,282,91,0.323,2023-24
League Averages,Restricted Area,Center(C),Less Than 8 ft.,9316,5823,0.625,2023-24
League Averages,Right Corner 3,Right Side(R),16-24 ft.,4,1,0.25,2023-24
League Averages,Right Corner 3,Right Side(R),24+ ft.,511,209,0.409,2023-24
