team_name,team_id,year
Charlotte Sting,1611661314,2001
Cleveland Rockers,1611661315,2001
Houston Comets,1611661316,2001
Los Angeles Sparks,1611661320,2001
Miami Sol,1611661326,2001
New York Liberty,1611661313,2001
Sacramento Monarchs,1611661318,2001
Utah Starzz,1611661319,2001
Charlotte Sting,1611661314,2002
Houston Comets,1611661316,2002
Indiana Fever,1611661325,2002
Los Angeles Sparks,1611661320,2002
New York Liberty,1611661313,2002
Seattle Storm,1611661328,2002
Utah Starzz,1611661319,2002
Washington Mystics,1611661322,2002
Charlotte Sting,1611661314,2003
Cleveland Rockers,1611661315,2003
Connecticut Sun,1611661323,2003
Detroit Shock,1611661321,2003
Houston Comets,1611661316,2003
Los Angeles Sparks,1611661320,2003
Minnesota Lynx,1611661324,2003
Sacramento Monarchs,1611661318,2003
Connecticut Sun,1611661323,2004
Detroit Shock,1611661321,2004
Los Angeles Sparks,1611661320,2004
Minnesota Lynx,1611661324,2004
New York Liberty,1611661313,2004
Sacramento Monarchs,1611661318,2004
Seattle Storm,1611661328,2004
Washington Mystics,1611661322,2004
Connecticut Sun,1611661323,2005
Detroit Shock,1611661321,2005
Houston Comets,1611661316,2005
Indiana Fever,1611661325,2005
Los Angeles Sparks,1611661320,2005
New York Liberty,1611661313,2005
Sacramento Monarchs,1611661318,2005
Seattle Storm,1611661328,2005
Connecticut Sun,1611661323,2006
Detroit Shock,1611661321,2006
Houston Comets,1611661316,2006
Indiana Fever,1611661325,2006
Los Angeles Sparks,1611661320,2006
Sacramento Monarchs,1611661318,2006
Seattle Storm,1611661328,2006
Washington Mystics,1611661322,2006
Connecticut Sun,1611661323,2007
Detroit Shock,1611661321,2007
Indiana Fever,1611661325,2007
New York Liberty,1611661313,2007
Phoenix Mercury,1611661317,2007
Sacramento Monarchs,1611661318,2007
San Antonio Silver Stars,1611661319,2007
Seattle Storm,1611661328,2007
Connecticut Sun,1611661323,2008
Detroit Shock,1611661321,2008
Indiana Fever,1611661325,2008
Los Angeles Sparks,1611661320,2008
New York Liberty,1611661313,2008
Sacramento Monarchs,1611661318,2008
San Antonio Silver Stars,1611661319,2008
Seattle Storm,1611661328,2008
Atlanta Dream,1611661330,2009
Detroit Shock,1611661321,2009
Indiana Fever,1611661325,2009
Los Angeles Sparks,1611661320,2009
Phoenix Mercury,1611661317,2009
San Antonio Silver Stars,1611661319,2009
Seattle Storm,1611661328,2009
Washington Mystics,1611661322,2009
Atlanta Dream,1611661330,2010
Indiana Fever,1611661325,2010
Los Angeles Sparks,1611661320,2010
New York Liberty,1611661313,2010
Phoenix Mercury,1611661317,2010
San Antonio Silver Stars,1611661319,2010
Seattle Storm,1611661328,2010
Washington Mystics,1611661322,2010
Atlanta Dream,1611661330,2011
Connecticut Sun,1611661323,2011
Indiana Fever,1611661325,2011
Minnesota Lynx,1611661324,2011
New York Liberty,1611661313,2011
Phoenix Mercury,1611661317,2011
San Antonio Silver Stars,1611661319,2011
Seattle Storm,1611661328,2011
Atlanta Dream,1611661330,2012
Connecticut Sun,1611661323,2012
Indiana Fever,1611661325,2012
Los Angeles Sparks,1611661320,2012
Minnesota Lynx,1611661324,2012
New York Liberty,1611661313,2012
