GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1040700201,420,100740,Ayana Walker,1611661321,Detroit Shock,4,0,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,3,1,1,20070831,IND,DET,2007,1040700201420,23850,validated,,0,matched,playbyplayv2,1611661325,100410|100414|100740|101025|201056,complete,playbyplay_inferred,100284|100347|100416|100493|100646,complete,playbyplay_inferred
Shot Chart Detail,1040700302,410,100740,Ayana Walker,1611661321,Detroit Shock,4,2,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20070908,DET,PHO,2007,1040700302410,22440,validated,100414,1,matched,playbyplayv2,1611661317,100410|100414|100740|101025|201056,complete,playbyplay_inferred,100648|100696|100920|101080|200665,complete,playbyplay_inferred
Shot Chart Detail,1040700302,419,100740,Ayana Walker,1611661321,Detroit Shock,4,2,11,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20070908,DET,PHO,2007,1040700302419,22690,validated,,0,matched,playbyplayv2,1611661317,100410|100414|100740|101025|201056,complete,playbyplay_inferred,100648|100696|100920|101080|200665,complete,playbyplay_inferred
