GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,1041000131,75,101025,Kara Braxton,1611661317,Phoenix Mercury,1,1,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,120,101025,Kara Braxton,1611661317,Phoenix Mercury,2,8,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,36,1,0,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,335,101025,Kara Braxton,1611661317,Phoenix Mercury,3,0,9,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,31,1,1,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,358,101025,Kara Braxton,1611661317,Phoenix Mercury,4,8,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-54,28,1,0,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,359,101025,Kara Braxton,1611661317,Phoenix Mercury,4,8,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,367,101025,Kara Braxton,1611661317,Phoenix Mercury,4,8,9,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,66,1,1,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,369,101025,Kara Braxton,1611661317,Phoenix Mercury,4,7,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,371,101025,Kara Braxton,1611661317,Phoenix Mercury,4,7,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000131,436,101025,Kara Braxton,1611661317,Phoenix Mercury,4,1,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,20,127,167,1,1,20100826,PHO,SAN,2010-11
Shot Chart Detail,1041000132,84,101025,Kara Braxton,1611661317,Phoenix Mercury,1,2,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,0,1,0,20100828,SAN,PHO,2010-11
