GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021600005,109,201492,Matee Ajavon,1611661330,Atlanta Dream,1,0,20,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,34.0,7.0,1,0,20160514,SAN,ATL,2016,1021600005109,5800,validated,,0,matched,playbyplayv2,1611661319,101023|201492|203406|1627678|1627680,complete,playbyplay_inferred,200673|202641|203405|203863|204324,complete,playbyplay_inferred
Shot Chart Detail,1021600005,127,201492,Matee Ajavon,1611661330,Atlanta Dream,2,8,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1.0,4.0,15.0,1,0,20160514,SAN,ATL,2016,1021600005127,7180,validated,,0,matched,playbyplayv2,1611661319,201492|203406|204334|1627678|1627680,complete,playbyplay_inferred,202251|202641|202652|203405|203863,complete,playbyplay_inferred
Shot Chart Detail,1021600005,131,201492,Matee Ajavon,1611661330,Atlanta Dream,2,7,47,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,-4.0,-2.0,1,1,20160514,SAN,ATL,2016,1021600005131,7330,validated,,0,matched,playbyplayv2,1611661319,201492|204334|1627635|1627678|1627680,complete,playbyplay_inferred,202251|202641|202652|203405|203825,complete,playbyplay_inferred
Shot Chart Detail,1021600013,77,201492,Matee Ajavon,1611661330,Atlanta Dream,1,3,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15.0,155.0,-11.0,1,1,20160520,IND,ATL,2016,102160001377,4200,validated,1627678,1,matched,playbyplayv2,1611661325,101023|201492|203026|1627678|1627680,complete,playbyplay_inferred,203016|203831|203843|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,79,201492,Matee Ajavon,1611661330,Atlanta Dream,1,2,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6.0,62.0,30.0,1,1,20160520,IND,ATL,2016,102160001379,4430,validated,,0,matched,playbyplayv2,1611661325,101023|201492|203026|1627678|1627680,complete,playbyplay_inferred,203016|203831|203843|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,88,201492,Matee Ajavon,1611661330,Atlanta Dream,1,1,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19.0,-194.0,41.0,1,0,20160520,IND,ATL,2016,102160001388,4990,validated,,0,matched,playbyplayv2,1611661325,101023|201492|203848|1627678|1627680,complete,playbyplay_inferred,203016|203041|203843|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,94,201492,Matee Ajavon,1611661330,Atlanta Dream,1,0,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0.0,2.0,7.0,1,0,20160520,IND,ATL,2016,102160001394,5550,validated,,0,matched,playbyplayv2,1611661325,101023|201492|203848|1627678|1627680,complete,playbyplay_inferred,203016|203041|203843|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,349,201492,Matee Ajavon,1611661330,Atlanta Dream,3,1,26,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,97.0,156.0,1,1,20160520,IND,ATL,2016,1021600013349,17140,validated,,0,matched,playbyplayv2,1611661325,201492|203026|204334|1627678|1627680,complete,playbyplay_inferred,201889|203016|203831|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,374,201492,Matee Ajavon,1611661330,Atlanta Dream,4,9,40,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13.0,69.0,119.0,1,1,20160520,IND,ATL,2016,1021600013374,18200,validated,,0,matched,playbyplayv2,1611661325,201492|203026|204334|1627678|1627680,complete,playbyplay_inferred,201889|203016|203831|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,376,201492,Matee Ajavon,1611661330,Atlanta Dream,4,9,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-2.0,37.0,1,0,20160520,IND,ATL,2016,1021600013376,18520,validated,,0,matched,playbyplayv2,1611661325,201492|203026|204334|1627678|1627680,complete,playbyplay_inferred,201889|203016|203831|1627676|1627688,complete,playbyplay_inferred
Shot Chart Detail,1021600013,505,201492,Matee Ajavon,1611661330,Atlanta Dream,4,1,19,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,21.0,37.0,1,0,20160520,IND,ATL,2016,1021600013505,23210,validated,,0,matched,playbyplayv2,1611661325,101023|201492|203026|203406|204334,complete,playbyplay_inferred,100646|201889|203018|203041|1627676,complete,playbyplay_inferred
Shot Chart Detail,1021600013,524,201492,Matee Ajavon,1611661330,Atlanta Dream,4,0,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19.0,80.0,181.0,1,0,20160520,IND,ATL,2016,1021600013524,23810,validated,,0,matched,playbyplayv2,1611661325,101023|201492|203026|203406|203848,complete,playbyplay_inferred,100646|201889|203018|203041|1627676,complete,playbyplay_inferred
Shot Chart Detail,1021600013,535,201492,Matee Ajavon,1611661330,Atlanta Dream,4,0,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22.0,-229.0,-19.0,1,0,20160520,IND,ATL,2016,1021600013535,23920,validated,,0,matched,playbyplayv2,1611661325,101023|201492|203026|203406|203848,complete,playbyplay_inferred,100646|201889|203018|204365|1627676,complete,playbyplay_inferred
Shot Chart Detail,1021600018,179,201492,Matee Ajavon,1611661330,Atlanta Dream,2,8,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9.0,11.0,94.0,1,0,20160522,ATL,CHI,2016,1021600018179,6930,validated,,0,matched,playbyplayv2,1611661329,101023|201492|201881|204322|1627678,complete,playbyplay_inferred,200665|201477|203399|203857|1627677,complete,playbyplay_inferred
Shot Chart Detail,1021600018,186,201492,Matee Ajavon,1611661330,Atlanta Dream,2,8,6,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9.0,-75.0,53.0,1,1,20160522,ATL,CHI,2016,1021600018186,7140,validated,,0,matched,playbyplayv2,1611661329,101023|201492|201881|204322|1627678,complete,playbyplay_inferred,200665|201477|202638|203399|203857,complete,playbyplay_inferred
Shot Chart Detail,1021600018,197,201492,Matee Ajavon,1611661330,Atlanta Dream,2,6,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19.0,167.0,108.0,1,0,20160522,ATL,CHI,2016,1021600018197,7910,validated,,0,matched,playbyplayv2,1611661329,101023|201492|201881|204322|1627678,complete,playbyplay_inferred,200665|201477|202638|203399|203857,complete,playbyplay_inferred
Shot Chart Detail,1021600018,250,201492,Matee Ajavon,1611661330,Atlanta Dream,2,2,48,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14.0,-68.0,131.0,1,0,20160522,ATL,CHI,2016,1021600018250,10320,validated,,0,matched,playbyplayv2,1611661329,101023|201492|201881|203026|204322,complete,playbyplay_inferred,201477|201516|202638|203399|203857,complete,playbyplay_inferred
Shot Chart Detail,1021600020,172,201492,Matee Ajavon,1611661330,Atlanta Dream,2,6,16,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13.0,-109.0,82.0,1,0,20160524,NYL,ATL,2016,1021600020172,8240,validated,,0,matched,playbyplayv2,1611661313,101023|201492|204322|1627635|1627678,complete,playbyplay_inferred,101030|202250|202670|203411|204327,complete,playbyplay_inferred
Shot Chart Detail,1021600027,183,201492,Matee Ajavon,1611661330,Atlanta Dream,2,7,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17.0,-119.0,131.0,1,0,20160527,DAL,ATL,2016,1021600027183,7520,validated,,0,matched,playbyplayv2,1611661321,101023|201492|201881|203406|1627680,complete,playbyplay_inferred,100888|101039|201907|202640|203824,complete,playbyplay_inferred
