GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021600011,107,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,2,8,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18.0,99.0,159.0,1,0,20160519,SAN,CON,2016,1021600011107,6980,validated,,0,matched,playbyplayv2,1611661323,202641|202652|203405|203838|203863,complete,playbyplay_inferred,201067|202662|203015|203402|203408,complete,playbyplay_inferred
Shot Chart Detail,1021600026,125,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,2,9,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24.0,144.0,194.0,1,1,20160527,SAN,CHI,2016,1021600026125,6540,validated,202652,1,matched,playbyplayv2,1611661329,202251|202641|202652|203838|203863,complete,playbyplay_inferred,200665|201516|203857|204309|204323,complete,playbyplay_inferred
Shot Chart Detail,1021600026,138,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,2,7,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18.0,-134.0,123.0,1,0,20160527,SAN,CHI,2016,1021600026138,7420,validated,,0,matched,playbyplayv2,1611661329,202251|202641|202652|203838|203863,complete,playbyplay_inferred,100812|200665|201516|203857|204309,complete,playbyplay_inferred
Shot Chart Detail,1021600026,147,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,2,7,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16.0,-75.0,149.0,1,0,20160527,SAN,CHI,2016,1021600026147,7570,validated,,0,matched,playbyplayv2,1611661329,202251|202641|202652|203838|203863,complete,playbyplay_inferred,100812|200665|203399|203857|204309,complete,playbyplay_inferred
Shot Chart Detail,1021600026,308,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,3,1,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23.0,-70.0,222.0,1,0,20160527,SAN,CHI,2016,1021600026308,16890,validated,,0,matched,playbyplayv2,1611661329,202641|202652|203405|203838|203863,complete,playbyplay_inferred,201477|201516|203857|204309|204323,complete,playbyplay_inferred
Shot Chart Detail,1021600036,339,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,3,0,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17.0,34.0,170.0,1,0,20160602,LAS,SAN,2016,1021600036339,17710,validated,,0,matched,playbyplayv2,1611661320,202641|202652|203405|203838|203863,complete,playbyplay_inferred,201496|201502|203014|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1021600036,366,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,4,7,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,23.0,67.0,225.0,1,0,20160602,LAS,SAN,2016,1021600036366,19540,validated,,0,matched,playbyplayv2,1611661320,202641|202652|203405|203838|203863,complete,playbyplay_inferred,201496|201502|201911|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1021600042,123,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,2,6,36,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,21.0,19.0,1,0,20160604,SAN,LAS,2016,1021600042123,8040,validated,,0,matched,playbyplayv2,1611661320,202251|202641|202652|203838|1627669,complete,playbyplay_inferred,100445|201496|201911|203833|204302,complete,playbyplay_inferred
Shot Chart Detail,1021600042,130,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,2,6,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16.0,144.0,74.0,1,1,20160604,SAN,LAS,2016,1021600042130,8350,validated,202652,1,matched,playbyplayv2,1611661320,202251|202641|202652|203838|1627669,complete,playbyplay_inferred,201496|201911|202650|203014|203833,complete,playbyplay_inferred
Shot Chart Detail,1021600042,382,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,4,0,52,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7.0,17.0,69.0,1,0,20160604,SAN,LAS,2016,1021600042382,23480,validated,,0,matched,playbyplayv2,1611661320,202641|202652|203838|1627645|1627681,complete,playbyplay_inferred,202650|203833|204302|1627644|1627682,complete,playbyplay_inferred
Shot Chart Detail,1021600042,387,203838,Astou Ndour-Fall,1611661319,San Antonio Stars,4,0,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,23.0,118.0,206.0,1,0,20160604,SAN,LAS,2016,1021600042387,23830,validated,,0,matched,playbyplayv2,1611661320,202641|202652|203838|1627645|1627681,complete,playbyplay_inferred,202650|203833|204302|1627644|1627682,complete,playbyplay_inferred
