GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,4,0,0.0,2019-20
League Averages,Above the Break 3,Center(C),24+ ft.,1307,443,0.339,2019-20
League Averages,Above the Break 3,Center(C),16-24 ft.,224,71,0.317,2019-20
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,2240,744,0.332,2019-20
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,282,103,0.365,2019-20
League Averages,Above the Break 3,Left Side(L),16-24 ft.,187,57,0.305,2019-20
League Averages,Above the Break 3,Left Side(L),24+ ft.,294,112,0.381,2019-20
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,2124,713,0.336,2019-20
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,249,86,0.345,2019-20
League Averages,Above the Break 3,Right Side(R),16-24 ft.,186,64,0.344,2019-20
League Averages,Above the Break 3,Right Side(R),24+ ft.,308,105,0.341,2019-20
League Averages,Backcourt,Back Court(BC),Back Court Shot,61,0,0.0,2019-20
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,1324,531,0.401,2019-20
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3372,1266,0.375,2019-20
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,252,89,0.353,2019-20
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,254,102,0.402,2019-20
League Averages,Left Corner 3,Left Side(L),24+ ft.,424,154,0.363,2019-20
League Averages,Left Corner 3,Left Side(L),16-24 ft.,3,2,0.667,2019-20
League Averages,Mid-Range,Center(C),8-16 ft.,410,162,0.395,2019-20
League Averages,Mid-Range,Center(C),16-24 ft.,1146,394,0.344,2019-20
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,1001,364,0.364,2019-20
League Averages,Mid-Range,Left Side(L),16-24 ft.,496,173,0.349,2019-20
League Averages,Mid-Range,Left Side(L),8-16 ft.,1127,419,0.372,2019-20
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,1027,381,0.371,2019-20
League Averages,Mid-Range,Right Side(R),8-16 ft.,1080,400,0.37,2019-20
League Averages,Mid-Range,Right Side(R),16-24 ft.,441,162,0.367,2019-20
League Averages,Restricted Area,Center(C),Less Than 8 ft.,7876,4670,0.593,2019-20
League Averages,Right Corner 3,Right Side(R),24+ ft.,278,104,0.374,2019-20
League Averages,Right Corner 3,Right Side(R),16-24 ft.,1,1,1.0,2019-20
