GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT,SEASON
League Averages,Above the Break 3,Center(C),24+ ft.,14,2,0.143,2011-12
League Averages,Above the Break 3,Center(C),16-24 ft.,88,31,0.352,2011-12
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,19,8,0.421,2011-12
League Averages,Above the Break 3,Left Side Center(LC),16-24 ft.,125,46,0.368,2011-12
League Averages,Above the Break 3,Left Side(L),16-24 ft.,52,24,0.462,2011-12
League Averages,Above the Break 3,Left Side(L),24+ ft.,6,0,0.0,2011-12
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,18,4,0.222,2011-12
League Averages,Above the Break 3,Right Side Center(RC),16-24 ft.,133,46,0.346,2011-12
League Averages,Above the Break 3,Right Side(R),16-24 ft.,48,17,0.354,2011-12
League Averages,Above the Break 3,Right Side(R),24+ ft.,4,1,0.25,2011-12
League Averages,Backcourt,Back Court(BC),Back Court Shot,6,0,0.0,2011-12
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,103,40,0.388,2011-12
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,307,113,0.368,2011-12
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,20,8,0.4,2011-12
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,26,9,0.346,2011-12
League Averages,Left Corner 3,Left Side(L),24+ ft.,17,5,0.294,2011-12
League Averages,Left Corner 3,Left Side(L),16-24 ft.,17,9,0.529,2011-12
League Averages,Mid-Range,Center(C),8-16 ft.,72,29,0.403,2011-12
League Averages,Mid-Range,Center(C),16-24 ft.,93,33,0.355,2011-12
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,68,27,0.397,2011-12
League Averages,Mid-Range,Left Side(L),16-24 ft.,55,14,0.255,2011-12
League Averages,Mid-Range,Left Side(L),8-16 ft.,160,50,0.313,2011-12
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,99,32,0.323,2011-12
League Averages,Mid-Range,Right Side(R),8-16 ft.,148,48,0.324,2011-12
League Averages,Mid-Range,Right Side(R),16-24 ft.,62,24,0.387,2011-12
League Averages,Restricted Area,Center(C),Less Than 8 ft.,793,465,0.586,2011-12
League Averages,Right Corner 3,Right Side(R),24+ ft.,17,6,0.353,2011-12
League Averages,Right Corner 3,Right Side(R),16-24 ft.,9,3,0.333,2011-12
