GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021100023,98,202670,Carolyn Swords,1611661329,Chicago Sky,1,0,56,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,20,1,0,20110617,CHI,NYL,2011,102110002398,5440,validated,,0,matched,playbyplayv2,1611661313,100384|201477|201918|202259|202670,complete,playbyplay_inferred,100888|201086|201502|201507|201895,complete,playbyplay_inferred
Shot Chart Detail,1021100031,245,202670,Carolyn Swords,1611661329,Chicago Sky,2,2,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,111,56,1,0,20110621,ATL,CHI,2011,1021100031245,10290,validated,,0,matched,playbyplayv2,1611661330,201477|201918|202259|202664|202670,complete,playbyplay_inferred,100796|201046|201048|201054|201881,complete,playbyplay_inferred
Shot Chart Detail,1021100031,367,202670,Carolyn Swords,1611661329,Chicago Sky,3,2,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1,20110621,ATL,CHI,2011,1021100031367,16390,validated,100729,1,matched,playbyplayv2,1611661330,100729|100835|201477|202259|202670,complete,playbyplay_inferred,100812|201048|201054|201881|201898,complete,playbyplay_inferred
Shot Chart Detail,1021100042,159,202670,Carolyn Swords,1611661329,Chicago Sky,2,5,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,1,1,1,20110625,CHI,PHO,2011,1021100042159,8500,validated,202664,1,matched,playbyplayv2,1611661317,100729|101049|202259|202664|202670,complete,playbyplay_inferred,100634|100940|101025|200676|202280,complete,playbyplay_inferred
Shot Chart Detail,1021100048,154,202670,Carolyn Swords,1611661329,Chicago Sky,2,5,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,1,20110628,CHI,SAN,2011,1021100048154,8770,validated,202259,1,matched,playbyplayv2,1611661319,100835|201918|202259|202637|202670,complete,playbyplay_inferred,100952|101033|200674|202251|202658,complete,playbyplay_inferred
Shot Chart Detail,1021100048,322,202670,Carolyn Swords,1611661329,Chicago Sky,3,1,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20110628,CHI,SAN,2011,1021100048322,16940,validated,100835,1,matched,playbyplayv2,1611661319,100835|201477|201480|202259|202670,complete,playbyplay_inferred,100342|100952|200674|202251|202634,complete,playbyplay_inferred
Shot Chart Detail,1021100054,95,202670,Carolyn Swords,1611661329,Chicago Sky,1,2,49,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,17,1,1,20110701,PHO,CHI,2011,102110005495,4310,validated,202259,1,matched,playbyplayv2,1611661317,100835|201477|201918|202259|202670,complete,playbyplay_inferred,100685|100940|200676|201886|202280,complete,playbyplay_inferred
Shot Chart Detail,1021100054,288,202670,Carolyn Swords,1611661329,Chicago Sky,3,6,8,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,39,1,0,20110701,PHO,CHI,2011,1021100054288,14320,validated,,0,matched,playbyplayv2,1611661317,101049|201918|202259|202664|202670,complete,playbyplay_inferred,100634|100940|200676|201886|202280,complete,playbyplay_inferred
Shot Chart Detail,1021100054,326,202670,Carolyn Swords,1611661329,Chicago Sky,3,3,49,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,12,1,1,20110701,PHO,CHI,2011,1021100054326,15710,validated,201918,1,matched,playbyplayv2,1611661317,100835|201477|201918|202637|202670,complete,playbyplay_inferred,100634|100685|200676|201886|202280,complete,playbyplay_inferred
Shot Chart Detail,1021100054,332,202670,Carolyn Swords,1611661329,Chicago Sky,3,3,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,11,1,0,20110701,PHO,CHI,2011,1021100054332,15900,validated,,0,matched,playbyplayv2,1611661317,100835|201477|201918|202637|202670,complete,playbyplay_inferred,100634|100685|200676|201886|202280,complete,playbyplay_inferred
Shot Chart Detail,1021100065,228,202670,Carolyn Swords,1611661329,Chicago Sky,2,0,17,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,15,1,1,20110710,NYL,CHI,2011,1021100065228,11830,validated,,0,matched,playbyplayv2,1611661313,100835|101049|201480|202664|202670,complete,playbyplay_inferred,100919|201502|201507|201895|201913,complete,playbyplay_inferred
