GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021100003,76,202643,Victoria Dunlap,1611661322,Washington Mystics,1,1,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,20,170,1,1,20110604,CON,WAS,2011,102110000376,4870,validated,201518,1,matched,playbyplayv2,1611661323,100627|201518|202640|202643|202662,complete,playbyplay_inferred,100533|101020|201904|202254|202263,complete,playbyplay_inferred
Shot Chart Detail,1021100003,200,202643,Victoria Dunlap,1611661322,Washington Mystics,2,1,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,21,31,217,1,1,20110604,CON,WAS,2011,1021100003200,11170,validated,202662,1,matched,playbyplayv2,1611661323,201492|202640|202643|202655|202662,complete,playbyplay_inferred,100874|101020|202250|202253|202254,complete,playbyplay_inferred
Shot Chart Detail,1021100016,238,202643,Victoria Dunlap,1611661322,Washington Mystics,3,2,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,-13,1,0,20110611,WAS,CHI,2011,1021100016238,16480,validated,,0,matched,playbyplayv2,1611661329,100627|201492|201500|202640|202643,complete,playbyplay_inferred,100384|201480|201918|202259|202664,complete,playbyplay_inferred
Shot Chart Detail,1021100016,245,202643,Victoria Dunlap,1611661322,Washington Mystics,3,1,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,-17,1,1,20110611,WAS,CHI,2011,1021100016245,17080,validated,201492,1,matched,playbyplayv2,1611661329,100627|201492|201500|202640|202643,complete,playbyplay_inferred,100384|201480|201918|202259|202664,complete,playbyplay_inferred
Shot Chart Detail,1021100021,147,202643,Victoria Dunlap,1611661322,Washington Mystics,2,7,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,23,1,0,20110616,WAS,CON,2011,1021100021147,7500,validated,,0,matched,playbyplayv2,1611661323,100627|201492|201518|201889|202643,complete,playbyplay_inferred,101020|201904|202250|202253|202254,complete,playbyplay_inferred
Shot Chart Detail,1021100021,149,202643,Victoria Dunlap,1611661322,Washington Mystics,2,7,26,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-2,1,1,20110616,WAS,CON,2011,1021100021149,7540,validated,,0,matched,playbyplayv2,1611661323,100627|201492|201518|201889|202643,complete,playbyplay_inferred,101020|201904|202250|202253|202254,complete,playbyplay_inferred
Shot Chart Detail,1021100021,168,202643,Victoria Dunlap,1611661322,Washington Mystics,2,5,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20110616,WAS,CON,2011,1021100021168,8870,validated,,0,matched,playbyplayv2,1611661323,100627|201492|201500|201889|202643,complete,playbyplay_inferred,101020|201904|202250|202253|202254,complete,playbyplay_inferred
Shot Chart Detail,1021100021,224,202643,Victoria Dunlap,1611661322,Washington Mystics,2,1,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-30,34,1,0,20110616,WAS,CON,2011,1021100021224,11360,validated,,0,matched,playbyplayv2,1611661323,100627|201492|201518|201889|202643,complete,playbyplay_inferred,100533|201904|202250|202253|202255,complete,playbyplay_inferred
Shot Chart Detail,1021100045,153,202643,Victoria Dunlap,1611661322,Washington Mystics,2,8,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,11,1,0,20110626,WAS,TUL,2011,1021100045153,7070,validated,,0,matched,playbyplayv2,1611661321,100627|201500|202640|202643|202662,complete,playbyplay_inferred,201050|201056|202633|202653|202665,complete,playbyplay_inferred
Shot Chart Detail,1021100055,7,202643,Victoria Dunlap,1611661322,Washington Mystics,1,9,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,-17,1,1,20110703,WAS,SEA,2011,10211000557,410,validated,100627,1,matched,playbyplayv2,1611661328,100627|201492|201500|201889|202643,complete,playbyplay_inferred,100720|100721|100973|101030|201067,complete,playbyplay_inferred
Shot Chart Detail,1021100055,12,202643,Victoria Dunlap,1611661322,Washington Mystics,1,7,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,152,99,1,0,20110703,WAS,SEA,2011,102110005512,1250,validated,,0,matched,playbyplayv2,1611661328,100627|201492|201500|201889|202643,complete,playbyplay_inferred,100720|100721|100973|101030|201067,complete,playbyplay_inferred
