GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,SHOT_ID,time,SHOT_DATA_STATUS,ASSIST_ID,assisted,ASSIST_STATUS,PBP_SOURCE,OPP_TEAM_ID,PLAYERS_ON,LINEUP_STATUS,LINEUP_SOURCE,OPP_PLAYERS_ON,OPP_LINEUP_STATUS,OPP_LINEUP_SOURCE
Shot Chart Detail,1021100001,69,201501,Charde Houston,1611661324,Minnesota Lynx,1,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),16-24 ft.,22,130,178,1,1,20110603,LAS,MIN,2011,102110000169,4610,validated,202257,1,matched,playbyplayv2,1611661320,100412|201487|201499|201501|202257,complete,playbyplay_inferred,100076|100928|201490|201496|201911,complete,playbyplay_inferred
Shot Chart Detail,1021100001,294,201501,Charde Houston,1611661324,Minnesota Lynx,3,1,17,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,47,11,1,0,20110603,LAS,MIN,2011,1021100001294,17230,validated,,0,matched,playbyplayv2,1611661320,100915|100944|201499|201501|202632,complete,playbyplay_inferred,100928|201049|201496|201911|202626,complete,playbyplay_inferred
Shot Chart Detail,1021100007,55,201501,Charde Houston,1611661324,Minnesota Lynx,1,4,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),16-24 ft.,22,-18,222,1,0,20110605,MIN,LAS,2011,102110000755,3500,validated,,0,matched,playbyplayv2,1611661320,100412|100915|200671|201499|201501,complete,playbyplay_inferred,100076|100234|100396|201049|201496,complete,playbyplay_inferred
Shot Chart Detail,1021100007,80,201501,Charde Houston,1611661324,Minnesota Lynx,1,2,10,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,15,1,0,20110605,MIN,LAS,2011,102110000780,4700,validated,,0,matched,playbyplayv2,1611661320,200671|201499|201501|202257|202644,complete,playbyplay_inferred,100396|100928|201496|201911|202626,complete,playbyplay_inferred
Shot Chart Detail,1021100007,91,201501,Charde Houston,1611661324,Minnesota Lynx,1,1,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,53,1,0,20110605,MIN,LAS,2011,102110000791,5150,validated,,0,matched,playbyplayv2,1611661320,100915|201499|201501|202257|202644,complete,playbyplay_inferred,100928|201490|201496|201911|202626,complete,playbyplay_inferred
Shot Chart Detail,1021100007,103,201501,Charde Houston,1611661324,Minnesota Lynx,1,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),16-24 ft.,21,211,37,1,0,20110605,MIN,LAS,2011,1021100007103,5670,validated,,0,matched,playbyplayv2,1611661320,100915|201499|201501|202257|202644,complete,playbyplay_inferred,100928|201490|201911|202626|202650,complete,playbyplay_inferred
Shot Chart Detail,1021100008,104,201501,Charde Houston,1611661324,Minnesota Lynx,1,0,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,19,1,1,20110607,MIN,TUL,2011,1021100008104,5500,validated,202257,1,matched,playbyplayv2,1611661321,201487|201499|201501|202257|202644,complete,playbyplay_inferred,101080|201050|202315|202629|202665,complete,playbyplay_inferred
Shot Chart Detail,1021100008,355,201501,Charde Houston,1611661324,Minnesota Lynx,4,8,10,Missed Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,18,36,1,0,20110607,MIN,TUL,2011,1021100008355,19100,validated,,0,matched,playbyplayv2,1611661321,201487|201499|201501|202257|202644,complete,playbyplay_inferred,100887|201056|202315|202629|202633,complete,playbyplay_inferred
Shot Chart Detail,1021100008,365,201501,Charde Houston,1611661324,Minnesota Lynx,4,7,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,9,1,0,20110607,MIN,TUL,2011,1021100008365,19720,validated,,0,matched,playbyplayv2,1611661321,200671|201487|201501|202632|202644,complete,playbyplay_inferred,100887|201056|202315|202629|202633,complete,playbyplay_inferred
Shot Chart Detail,1021100022,85,201501,Charde Houston,1611661324,Minnesota Lynx,1,0,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),16-24 ft.,21,-152,157,1,0,20110617,MIN,ATL,2011,102110002285,5530,validated,,0,matched,playbyplayv2,1611661330,100412|200671|201499|201501|202257,complete,playbyplay_inferred,100690|100812|101021|201048|201898,complete,playbyplay_inferred
Shot Chart Detail,1021100028,110,201501,Charde Houston,1611661324,Minnesota Lynx,1,1,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side(L),16-24 ft.,23,-201,113,1,1,20110619,ATL,MIN,2011,1021100028110,4980,validated,201499,1,matched,playbyplayv2,1611661330,201487|201499|201501|201882|202257,complete,playbyplay_inferred,100796|100812|101021|201881|201898,complete,playbyplay_inferred
